Timestamp,Date of Enquiry,Column 2,Which Course do you want to Learn ?,Mobile No (Student),Mobile No (Parent / guardian 1),Mobile No (Parent / guardian 2),Email Address,Address,Education,"Presently What Are you Doing ? (Student, Business, Job, Housewife, etc...)","From Where Do You Know About Us ? (Google, Social Media, Friends, Old students, etc...)",Preferred Branch ,Counsellor Name ,Mode of Enquiry,Any Other Notes,enq discuusin,Column 1,
10/04/2026 9:11:27,10/04/2026,ENQ-8711,Computer Basics & Generative AI Foundation,9990050279,,,,,,Job,,Pal,subin sir,On Call,,,,
10/04/2026 20:27:21,10/04/2026,ENQ-8712,Python OOP Programming (Module 2),9990076486,,,,,M.B.A,STUDENT,,Vesu,Trusha Mam,On Call,,,,
11/04/2026 13:09:51,11/04/2026,Enq 8713,"Professional Business Finance & Accounting, Digital Marketing & SEO",8882214637,,,mihirnadkarni8624@example com,,12th,,,Citylight,Mansi mam,On Call,10/8/26,"they joined somewhere else, our fees is high",,
11/04/2026 11:22:04,11/04/2026,ENQ - 8713,SENDED CATALOGUE,9990029379,,,,PIPLOD,,,,Pal,Vansh sir,On Call,1/9/26,will visit our branch in 1 or 2 days,,
,,ENQ - 8714,LINK TO EXPLORE COURSE CATALOGUE,,,,vihaanwagle6142@example.com,VARACHHA,12th,,,Vesu,subin sir,On Call,,,,
14/04/2026 10:40:05,14/04/2026,Enq 8715,Professional Business Finance & Accounting,"6660051833, 9991167342",,,,,M.B.A,,,pal,Siddharth sir,On Call,13/4/26,will visit our branch in 1 or 2 days,,
14/04/2026 16:18:05,14/04/2026,ENQ-8716,Tally Prime with GST,+917770091253,,,,ADAJAN,,Student,,Citylight,Mansi Mam,On Call,,,,
15/04/2026 11:16:19,15/04/2026,Enq 8717,Advanced Excel & Power BI (Online),77700088948,,,,ALTHAN,,STUDENT,,Vesu,Vansh sir,On Call,9/12/26,will join in june,,
19/04/2026 20:49:20,19/04/2026,ENQ - 8718,Advanced Graphic Designing,6660007615,,,,ADAJAN,,,,Citylight,vansh sir,On Call,7/4/26,already discussed,,
20/04/2026 16:29:34,20/04/2026,Enq 8719,SENDED CATALOGUE,9990012540,,,,UDHNA,M.B.A,STUDENT,,Citylight,Siddharth sir,On Call,,,,
20/04/2026 13:51:37,20/04/0026,ENQ-8720,AI & Data Science Professional,9991193043,,,,,M.B.A,,,Pal,Vansh sir,On Branch,,,,
22/04/2026 17:03:09,22/04/2026,ENQ-8721,NA,09991158546,,,,,Bcom,,,Pal,Mansi Mam,On Call,20/7/26,will call us back,,
23/04/2026 18:55:40,23/04/2026,Enq 8722,12th computer science ,8882298393,,,,,,STUDENT,,Pal,Yash Sir,On Branch,,,,
23/04/2026 12:19:23,23/04/2026,Enq 8723,Agentic AI & Automation Specialist,9991182813,,,,,M.B.A,Job,,Pal,Trusha mam,On Call,,,,
25/04/2026,25/04/2026,Enq 8724,12TH COMPUTER SCIENCE (WITH ZERO MODULE),9991102236,,,,,,,,Pal,Trusha Mam,On Call,,,,
27/04/2026,27/04/2026,ENQ - 8725,SENDED CATALOGUE,9990091911,,,,ALTHAN,M.B.A,STUDENT,,Vesu,Trusha,On Call,,,,
27/04/2026,27/04/2026,Enq 8726,C PROGRAMMING,8880010942,,,anishbhide7942@example.com,,,,,Pal,Trusha,On Call,15/5/26,brochure sended,,
29/04/2026,29/04/2026,ENQ - 8727,DIGITAL MARKETING & SEO,7770061170,,,,,,,,Vesu,vansh sir,On Call,,,,
29/04/2026,29/04/2026,ENQ-8728,ADVANCED CERTIFICATE IN DATA ANALYTICS & DATA SCIENCE,9990019103,,,,,,,,Citylight,Mansi Mam,On Call,2/7/26,,,
01/05/2026,01/05/2026,Enq 8729,PROFESSIONAL BUSINESS FINANCE & ACCOUNTING,6660022025,,,,,9TH GRADE,,,Pal,Trusha mam,On Branch,,,,
01/05/2026,01/05/2026,Enq 8730,"PERFORMANCE ADVERTISING & MARKETING ANALYTICS (M-1), ECOMMERCE DEVELOPER & SEO SPECIALIST PROGRAM",9991127927,,,,,,Student,,Vesu,Yash Kanodia Sir,On Branch,17/11/26,call busy,,
01/05/2026,01/05/2026,Enq 8731,ADV. CERT. IN PYTHON DEVELOPMENT & GENERATIVE AI (ONLINE),8882287976,,,,VARACHHA,,Student,,Vesu,Subin sir,On Call,11/7/26,,,
,,Enq 8732,Advanced Excel & Power BI,9990067249,,,,,,STUDENT,,Pal,Trusha Mam,On Call,23/1/26,will join in june,,
03/05/2026 19:59:22,03/05/2026,Enq 8733,Computer Basics & Generative AI Foundation,999112519,,,,,M.B.A,,,Vesu,Vansh sir,On Call,,,,
03/05/2026 16:47:36,03/05/2026,ENQ - 8734,Professional Python Developer,8880072304,,,,KATARGAM,12th,,,Pal,Yash Sir,On Call,5/6/26,,,
05/05/2026 10:03:59,05/05/2026,ENQ - 8735,AI & Data Science Professional,7770088314,,,,BHATAR,9TH GRADE,,,Pal,Vansh Sir,On Call,,,,
,,Enq 8735,Advanced Certificate in Data Analytics & Data Science,7770090450,,,,,,Job,,Pal,Trusha Mam,On Call,5/5/26,already discussed,,
06/05/2026 13:11:56,06/05/2026,Enq 8736,Tally Prime with GST,7770058202,,,,,,,,vesu,Trusha Mam,On Call,14/2/26,,,
06/05/2026 13:56:29,06/05/2026,ENQ-8737,Adv. Cert. in Python Development & Generative AI ,8882238616,,,,PIPLOD,,,,Pal,Mansi mam,On Branch,11 GRADE,,,
09/05/2026 17:04:32,09/05/2026,ENQ-8738,Advanced Data Analytics,,,,,,,,,Vesu,Yash sir,On Branch,,,,
15/05/2026 11:35:13,15/05/2026,Enq 8739,Advanced Excel,8882225563,,,,CITYLIGHT,Bcom,STUDENT,,Vesu,Mansi Mam,On Call,,,,
10/05/2026 19:44:40,10/05/0026,Enq 8740,"Advanced Excel & Power BI (M-2 & M-3), Adv. Cert. in Python Development & Generative AI",7770076925,,,,RANDER,,Student,,Vesu,Siddharth Sir,On Branch,,,,
16/05/2026 9:49:35,16/05/2026,ENQ-8741,Advanced Excel & Power BI,6660086995,,,,,Bcom,,,Vesu,Yash Kanodia Sir,On Call,27/5/26,out of service,,
18/05/2026 11:01:53,18/05/2026,Enq 8742,Performance Advertising & Marketing Analytics,6660023993,,,,PIPLOD,,Student,,Citylight,Subin sir,On Call,,,,
18/05/2026 10:26:01,18/05/2026,ENQ-8743,Social Media Content & Ad Architect,7770097263,,,,PAL,M.B.A,Student,,Vesu,Trusha Mam,On Call,28/8/26,,,
18/05/2026 17:08:30,18/05/2026,Enq 8744,Advanced Data Analytics,88800186065,,,,,12th,,,vesu,Siddharth sir,On Call,26/10/26,out of service,,
19/05/2026 13:35:06,19/05/2026,ENQ - 8745,Advanced Excel,8880085013,,,,PIPLOD,,Job,,Citylight,Yash Sir,On Call,,,,
20/05/2026 11:15:50,20/05/2026,,Performance Advertising & Marketing Analytics ,8880098337,,,,,12th,Student,,Citylight,Siddharth Sir,On Call,old Student fast track,,,
20/05/2026 17:26:57,20/05/2026,ENQ - 8747 (Veer Mistry),Adv. Cert. in Python Development & Generative AI (6 months),+155501005,,,,MAGDALLA,Bcom,STUDENT,,Vesu,Vansh Sir,On Call,,,,
21/05/2026 13:07:08,21/05/2026,Enq 8748,Advanced Data Analytics module 2,,,,,,9TH GRADE,,,Citylight,vansh sir,On Call,,,19/5/26,call not picked up
21/05/2026 13:31:24,21/05/2026,,NA,6660007654,,,,UMRA,9TH GRADE,Student,,Vesu,Trusha Mam,On Call,NO DATA ON THIS NUMBER,,21/11/26,
22/05/2026 20:45:30,22/05/2026,Enq 8750,Computer Basics & Generative AI Foundation (6 months),888227289,,,,,12th,STUDENT,,Pal,Yash sir,On Call,,,10/11/26,switch off
22/05/2026 11:26:26,,ENQ-8751,NA,9990014805,,,,PARLE POINT,,Job,,Vesu,Mansi Mam,On Call,,,,
23/05/2026 16:27:36,23/05/2026,ENQ-8752,"12th computer science , Performance Advertising & Marketing Analytics",888008491,,,,,,,,NA,Siddharth Sir,On Call,,,20/11/26,
24/05/2026 19:06:04,24/05/2026,ENQ - 8753,professional office & generative ai essentials,8880032075,,,,,12th,,,Pal,Yash Sir,On Call,,,15/7/26,not intrested
25/05/2026 13:55:10,25/05/2026,ENQ-8754,Advanced Computer Accounting with GST & Zoho Books,8880064824,,,poojatembe6868@example.com,,Bcom,STUDENT,,NA,Vansh sir,On Call,,,,
26/05/2026 13:42:17,26/05/2026,ENQ-8755,Adv. Cert. in Data Analytics & Data Science,8880077844,,,,,,,,Citylight,Siddharth sir,On Branch,,,19/4/26,will call us back
27/05/2026 15:59:42,27/05/2026,ENQ-8756,"C Programming, Professional Office & Generative AI Essentials",9990000092,,,,,,Student,,Pal,Siddharth sir,On Call,,,10/7/26,already discussed
29/05/2026 11:46:27,29/05/2026,ENQ-8757,12th computer science,+916660081904,,,,,,,,Pal,Vansh sir,On Call,,,5/10/26,not right now
29/05/2026 17:14:01,29/05/2026,ENQ - 8758,C Programming,7770006238,,,,,9TH GRADE,Student,,Vesu,Siddharth sir,On Call,,,7/1/26,out of service
30/05/2026 20:58:43,30/05/2026,ENQ-8759,digital marketing & seo,9990046532---9991135272,,,,,,STUDENT,,Citylight,Trusha mam,On Call,,,,
30/05/2026 19:21:30,30/05/2026,ENQ-8759,PROFESSIONAL BUSINESS FINANCE & ACCOUNTING,8882204991,,,,,9TH GRADE,Student,,Vesu,Vansh Sir,On Call,,,7/4/26,will join in june
31/05/2026 20:20:49,31/05/2026,ENQ-8760,Business Analytics (with zero module),9991138721---9990080699,,,,,12th,,,Vesu,Yash k,On Branch,,,20/12/26,switch off
31/05/2026 14:24:36,31/05/2026,Enq 8761,Tally Prime with GST,8882209985,,,,,,STUDENT,,Citylight,Yash k,On Call,,,9/2/26,out of service
02/06/2026 19:37:37,02/06/2026,ENQ-8762,PROFESSIONAL OFFICE & GENERATIVE AI ESSENTIALS,8880025902,,,,,M.B.A,,,Vesu,Siddharth sir,On Call,9TH GRADE,,,
02/06/2026 14:14:55,02/06/2026,ENQ - 8762,Digital Marketing & SEO,8882289641,,,,,Bcom,,,Pal,Siddharth Sir,On Call,,,,
03/06/2026 9:59:34,03/06/2026,ENQ - 8763,Performance Advertising & Marketing Analytics,7770083744,,,,,,,,Vesu,Subin sir,On Call,,,3/12/26,timepass
03/06/2026 19:12:34,03/06/2026,ENQ-8764,Performance Advertising & Marketing Analytics,6660039587,,,,,12th,,,Vesu,Yash Kanodia Sir,On Branch,,,,
03/06/2026 12:27:42,03-06-2026,Enq 8765,"Canva, Advanced Certificate in Data Analytics & Data Science",9990010550,,,,,,,,Vesu,Trusha,On Call,,,19/6/26,will let us know once they take any decisions
07/06/2026 17:32:04,07/06/2026,ENQ-8766,12th computer science,9991158876,,,,,M.B.A,,,Vesu,Mansi mam,On Call,,,9/7/26,not intrested
13/06/2026 15:03:33,,ENQ-8767,"Professional Office & Generative AI Essentials, 12th computer science",,,,,,M.B.A,Student,,Citylight,Vansh Sir,On Call,,,20/6/26,
08/06/2026 17:48:24,08/06/2026,ENQ - 8768,Ecommerce Developer & SEO Specialist Program (Online),9990071793---8882260600,,,,CITYLIGHT,,,,Pal,Trusha,On Call,,,,
,,ENQ - 8769,BUSINESS ANALYTICS,7770074964,,,,,M.B.A,,,Vesu,subin sir,On Call,,,,
14/06/2026 16:37:39,14/06/2026,Enq 8770,Python OOP Programming (Module 2),9990065503,,,,NEW CITYLIGHT,Bcom,STUDENT,,Vesu,Vansh Sir,On Call,,,1/5/26,
16/06/2026 11:15:12,16/06/2026,Enq 8771,Advanced Excel,8880004714,,,,,,,,Citylight,SUBIN SIR,On Call,,,,
19/06/2026 12:21:42,19/06/2026,ENQ-8772,Advanced Data Analytics,6660089252,,,,,Bcom,,,Citylight,Trusha mam,On Call,old Student fast track,,16/1/26,
20/06/2026 13:43:46,20/06/2026,Enq 8773,Python OOP Programming (Module 2),9991141116,,,,,,,,Citylight,Mansi mam,On Call,,,16/10/26,taken admission on other classes
22/06/2026 12:14:29,22/06/2026,Enq 8774,NA,6660085812,,,,,12th,,,Pal,Siddharth Sir,On Call,,,,
25/06/2026 18:37:57,25/06/2026,ENQ - 8775,Business Analytics,9990072622,,,,KATARGAM,Bcom,,,Citylight,Yash k,On Branch,,,,
25/06/2026 16:47:27,25/06/2026,Enq 8775,Adv. Cert. in Data Analytics & Data Science,8880084127,,,,,12th,,,Vesu,Trusha mam,On Call,AREA - PARLEPOINT,,,
28/06/2026 9:33:48,28/06/2026,ENQ-8776 (cancelled),adv. cert. in python development & generative ai,7770065086,,,,PAL,M.B.A,,,Vesu,Yash Sir,On Branch,,20/3/26,,
01/07/2026 20:01:36,01/07/2026,Enq 8777,AI & Data Science Professional,7770082876,,,,,9TH GRADE,Student,,Pal,Trusha Mam,On Call,,,,
02/07/2026 9:55:26,02/07/2026,ENQ - 8778,SENDED CATALOGUE,7770088166,,,,,,,,Pal,Mansi Mam,On Call,,1/9/26,brochure sended,
03/07/2026 9:21:26,03/07/2026,ENQ - 8779,Advanced Graphic Designing (M-2 & M-3),7770025696,,,,,,,,Vesu,Yash k,On Call,,11/2/26,already discussed,
03/07/2026 9:04:17,03/07/2026,Enq 8780,12 TH CS,09991186184,,,,,,,,Citylight,Yash Sir,On Call,,24/6/26,already discussed,
04/07/2026 16:23:55,04/07/2026,Enq 8781,AI & Data Science Professional,9990062501,,,,ADAJAN,,,,Vesu,SUBIN SIR,On Call,,,,
04/07/2026 13:45:33,04/07/2026,Enq 8782,Social Media Content & Ad Architect,9991174417,,,,,Bcom,Student,,Pal,Siddharth sir,On Call,,,,
,,ENQ-8782,Social Media Content & Ad Architect,777002733,,,,ALTHAN,M.B.A,Job,,Citylight,Siddharth sir,On Call,,11/8/26,not right now,
07/07/2026 20:07:36,07/07/2026,ENQ-8783,Professional Business Finance & Accounting (m-1),9991148965,,,,,,,,Citylight,Trusha,On Call,,26/9/26,"they joined somewhere else, our fees is high",
07/07/2026 16:40:40,,ENQ - 8784,Adv. Cert. in Python Development & Generative AI (Module 2),7770016401,,,,,,,,Vesu,Vansh sir,On Call,,19/1/26,call busy,
10/07/2026 18:17:34,10/07/2026,ENQ-8785 (Shreya),Ecommerce Developer & SEO Specialist Program,6660098104,,,,,12th,,,Vesu,Siddharth Sir,On Call,,,,
11/07/2026 9:45:01,11/07/2026,ENQ - 8786,Basic Graphic Designing (Online),8880027969,,,,,,STUDENT,,Vesu,Vansh Sir,On Call,,17/10/26,,
13/07/2026 20:42:22,13/07/2026,ENQ-8787,LINK TO EXPLORE COURSE CATALOGUE,8882227279,,,,,,STUDENT,,Vesu,Yash k,On Call,AREA - PARLEPOINT,,,
14/07/2026 15:15:00,14/07/2026,ENQ - 8788,"12th computer science, Performance Advertising & Marketing Analytics",8880018276,,,,,,Student,,Pal,Vansh Sir,On Call,,20/9/26,,
15/07/2026 19:27:08,15/07/2026,Enq 8789,Basic Graphic Designing (Module 2),8882244703,,,,UMRA,12th,Job,,citylight,Vansh Sir,On Branch,,12/4/26,brochure sended,
15/07/2026 17:50:41,15/07/2026,Enq 8790,"Canva, Professional Python Developer",9991116760,,,,PALANPUR,Bcom,Job,,Pal,Trusha,On Branch,,1/2/26,,
15/07/2026 11:53:06,15/07/2026,ENQ-8791,Professional Python Developer,09991112447,,,,PALANPUR,,Job,,Pal,Vansh sir,On Call,,2/1/26,,
15/07/2026 17:14:18,15/07/2026,ENQ-8792,NA,8882256692,,,,,9TH GRADE,Student,,Pal,Siddharth sir,On Call,,19/6/26,not intrested,
16/07/2026 9:12:02,16/07/2026,ENQ-8793,"Advanced Data Analytics, AI & Data Science Professional",8880026097,,,,,,,,Pal,Yash k,On Branch,,,,
17/07/2026 11:50:50,17/07/2026,ENQ-8794,Social Media Content & Ad Architect,9990089860,,,,,,Student,,Citylight,subin sir,On Call,,,,
18/07/2026 15:37:26,18/07/2026,ENQ-8795,Python OOP Programming (Module 2),8880069965,,,,,12th,Job,,Citylight,Mansi mam,On Call,,8/5/26,wrong number,
18/07/2026 9:44:39,18/07/2026,Enq 8796,"BASIC GRAPHIC DESIGNING, Professional Business Finance & Accounting",8882206446,,,,RANDER,M.B.A,Student,,Vesu,vansh sir,On Branch,,,,
19/07/2026 17:07:06,19/07/2006,ENQ-8797,Social Media Content & Ad Architect,9991120923,,,,CITYLIGHT,12th,,,Citylight,Mansi mam,On Branch,,16/5/26,switch off,
19/07/2026 10:41:53,19/07/2026,ENQ-8798,Tally Prime with GST,8880042374,,,,,,Job,,Pal,vansh sir,On Call,,9/7/26,switch off,
19/07/2026 18:53:48,19/07/2026,ENQ - 8798,Tally Prime with GST,9991112168,,,,,,,,Pal,Mansi mam,On Call,,22/12/26,,
21/07/2026 18:38:02,21/07/2026,Enq 8799,Social Media Content & Ad Architect,6660023134,,,,,9TH GRADE,,,pal,Trusha,On Call,,,,
22/07/2026 12:40:30,22/07/2026,ENQ-8800,Computer Basics & Generative AI Foundation,8882218327,,,,ADAJAN,Bcom,,,Pal,vansh sir,On Call,,,,
22/07/2026 16:24:37,22/07/2026,Enq 8801,C Programming module 2,777008141,,,,,Bcom,,,Vesu,subin sir,On Call,,,,
24/07/2026 16:10:14,24/07/2026,ENQ-8802,NA,8882238211,,,,PARLE POINT,,,,Citylight,Vansh Sir,On Call,,,,
24/07/2026 20:52:14,24/07/2026,ENQ - 8803,TALLY PRIME WITH GST,7770030231,,,,,9TH GRADE,,,Pal,Yash k,On Call,,,,
26/07/2026 15:24:54,26/07/2026,Enq 8804,Adv. Cert. in Python Development & Generative AI (M-2 & M-3),09991154120,,,,,Bcom,,,Vesu,Yash sir,On Branch,,10/4/26,switch off,
26/07/2026 20:18:58,26/07/2026,ENQ-8805,C Programming,9990096049,,,,,Bcom,,,Pal,Mansi Mam,On Call,DPS SCHOOL,,,
26/07/2026 14:34:04,hand written,Enq 8806,Advanced Excel,8880021881,,,,,M.B.A,STUDENT,,Vesu,Yash Sir,On Call,,13/7/26,,
27/07/2026 10:05:43,27/07/2026,ENQ-8807,Python OOP Programming (Module 2) module 2,8882231745,,,,,12th,STUDENT,,pal,Siddharth sir,On Call,,,,
29/07/2026 12:05:53,29/07/2026,ENQ - 8808,Digital Marketing & SEO,8882261029,,,,,12th,Job,,Vesu,Subin sir,On Branch,,16/6/26,,
28/07/2026 15:52:26,28/07/2026,ENQ - 8809,NA,9991198031,,,,,,,,Vesu,Yash k,On Branch,,,,
30/07/2026 9:51:09,30/07/2026,ENQ-8810,Adv. Cert. in Python Development & Generative AI (m-1),888226011,,,,PANDESARA,M.B.A,,,Citylight,Vansh sir,On Call,,10/10/26,,
30/07/2026 9:35:38,30/07/2026,ENQ-8811,Advanced Computer Accounting with GST & Zoho Books,6660047369,,,jainambhide3680@example.com,,M.B.A,,,Pal,Mansi Mam,On Call,,6/6/26,switch off,
30/07/2026 9:18:27,30/07/2026,Enq 8812,12th computer science,8880034618,,,,,12th,,,Vesu,Mansi mam,On Call,,2/8/26,switch off,
30/07/2026 11:37:15,30/07/2026,ENQ - 8813,Python OOP Programming (Module 2),7770034959,,,,,M.B.A,Student,,Citylight,Siddharth Sir,On Call,,,,
02/08/2026 11:29:58,02/08/2026,Enq 8814,Advanced Excel & Power BI (m-1),8880051744,,,,,,STUDENT,,Vesu,Yash k,On Branch,,4/5/26,call not picked up,
02/08/2026 15:48:01,02/08/2026,ENQ-8815,advanced certificate in data analytics & data science,7770080872,,,,,9TH GRADE,,,Pal,Vansh sir,On Call,,10/2/26,out of service,
03/08/2026 18:52:12,03/08/2026,ENQ-8816,Computer Basics & Generative AI Foundation,9990086996,,,,,Bcom,Job,,NA,vansh sir,On Call,,26/9/26,call cutted by them,
05/08/2026 9:29:35,05/08/2026,Enq 8817,SENDED CATALOGUE,7770047704,,,,,,STUDENT,,Pal,Trusha mam,On Call,,,,
07/08/2026 17:40:37,07/08/2026,ENQ - 8818,"Business Analytics, Digital Marketing & SEO",+919991163268,,,,,12th,Job,,Vesu,Siddharth sir,On Call,,13/2/26,not right now,
07/08/2026 19:57:29,07/08/2026,ENQ - 8819,"Business Analytics, Basic Graphic Designing",99900196589,,,,,9TH GRADE,Student,,Vesu,Siddharth Sir,On Call,9TH GRADE,3/12/26,not intrested,
08/08/2026 9:57:07,08/08/2026,ENQ-8820,AI & Data Science Professional,7770010779,,,,,9TH GRADE,,,Citylight,Mansi Mam,On Call,,17/10/26,not intrested,
10/08/2026 12:53:56,10/08/2026,ENQ-8821,Digital Marketing & SEO module 2,6660078329,,,,,M.B.A,Student,,Vesu,Mansi Mam,On Call,,,,
10/08/2026 13:05:39,10/08/2026,ENQ-8821,Professional Business Finance & Accounting,7770036410,,,darshchaphekar5829@example.con,,M.B.A,Job,,Citylight,Yash Kanodia Sir,On Call,,,,
10/08/2026 15:41:03,10/08/2026,ENQ - 8822,C Programming,8880078664,,,,,9TH GRADE,STUDENT,,Vesu,Subin Sir,On Branch,,23/8/26,out of service,
