Timestamp,Mobile No (Student),Student Name,Which Course,Faculty,Batch Timing,
,9990071793,Jainam Joglekar,Advanced Graphic Designing (6 mths),Subin sir,12:00 To 01:00,
,8880021881,Darsh Lele,Advanced Certificate in Python Development & Generative AI,Mansi mam,06:00 To 07:00,
,9991154120,Vansh Mhatre,Kids Course module 2,Mansi Mam,06:00 To 07:00,
,9990071793,Jainam Joglekar,Diploma in Front End Development,Siddharth sir,04:00 To 05:00,
,8882261762,Garv Dandekar,10th std school course,Vansh sir,04:00 To 05:00,
,6660081904,Urvi Mahabal,Data analysis ,Mansi Mam,12:00 To 01:00,
,9991154120,Vansh Mhatre ,Video Editing ,Subin Sir,10:00 To 11:00,
,7770047704,Subin,Basic Graphic Designing,Trusha mam,05:00 To 06:00,
,8882287976,Ananya Sahasrabuddhe ,Basic Graphic Designing,Mansi Mam,10:00 To 11:00,
,7770074964,Naisha Kelkar ,Advanced Computer Accounting (module 2 & 3),Yash sir,03:00 To 04:00,
,8882231745,Niyati Dhond,Data Analysis,Yash Sir,02:00 To 03:00,
,8880018606,Devansh Limaye,POWER BI,Trusha Mam,02:00 To 03:00,
,9991174417,Kavya Chandorkar,Advanced Excel (M-1 & M-2),Siddharth Sir,02:00 To 03:00,
,+916660007615,Advait Vartak,power bi,Siddharth sir,07:00 To 08:00,
,7770006238,Sanya Bhide,Digital Marketing (6 months),Yash Kanodia Sir,11:00 To 12:00,
,8882230421---9990080811,Avni Godbole,Full Stack Development module 2,Vansh Sir,05:00 To 06:00,
,9990067249,Riddhi Rege ,Kids Course,Mansi mam,07:00 To 08:00,
,9990065503,Pooja Sathaye,Digital Marketing & SEO,Trusha,01:00 To 02:00,
,8882261029,Tanvi Velankar ,Advanced Python Programming (5 Modules),Vansh sir,05:00 To 06:00,
,8880085013,Rudra Ahluwalia,Basic Graphic Designing,subin sir,05:00 To 06:00,
,8880026097,Samarth Gokhale,Advanced Certificate in Data Analytics & Data Science,Mansi Mam,12:00 To 01:00,
,8880064824,Pooja Tembe,basic computer accounting,Subin sir,10:00 To 11:00,
,9990012540,Sanya Ranadive,Full Stack Development,Subin Sir,02:00 To 03:00,
,9990046532,Keya Mahabal,Core Python Programming,Siddharth sir,03:00 To 04:00,
,7770076925,Inamdar Pooja,diploma in front end development,Trusha mam,02:00 To 03:00,
,6660077908,radhika bapat,Kids Course,Yash k,06:00 To 07:00,
,7770010779,Dhruv Yardi,Computer Accounting,Vansh sir,05:00 To 06:00,
,,Shaurya Wadekar,Adobe Photoshop,Trusha,06:00 To 07:00,
,8880026097,Samarth Gokhale,Advanced Python Programming (5 Modules),vansh sir,03:00 To 04:00,
,9990019658,Isha Vartak,Advanced Certificate in Python Development & Generative AI,Mansi Mam,10:00 To 11:00,
,88800983371,Vedant Ranadive,Digital Marketing & SEO (m-1),Vansh Sir,10:00 To 11:00,
,9991148965,Dhruv Tembe,Computer Accounting,Mansi mam,02:00 To 03:00,
,9991193043,Mansi,Adobe Photoshop,Mansi mam,06:00 To 07:00,
,8882204991,tirth ganvir,Advanced Python Programming (5 Modules),Vansh sir,12:00 To 01:00,
,9991120923,Arnav Bapat ,Basic Graphic Designing,Mansi Mam,03:00 To 04:00,
,7770091034,Vedant Tembe,Kids Course,Yash k,12:00 To 01:00,
,,Mihir Bapat,graphic designing,vansh sir,07:00 To 08:00,
,6660089252,Chaphekar Darsh,Power BI,Mansi mam,01:00 To 02:00,
,08882260114,Zeel Jamdar,Core Python Programming,Trusha mam,06:00 To 07:00,
,9990096049,Chandorkar Riddhi,11th IP,Vansh Sir,06:00 To 07:00,
,+918880092221,Tanvi Mhatre ,11TH IP,Siddharth Sir,04:00 To 05:00,
,77-70016401,Darsh Ganvir,Diploma in Front End Development,Subin Sir,02:00 To 03:00,
,6660017906,Tanish Karnik,Business Analytics,Yash sir,03:00 To 04:00,
,9991158546,Lakshya Gokhale,C Programming (with zero module),Siddharth sir,05:00 To 06:00,
,9991138721,Charvi Limaye ,Digital Marketing (6 months),Siddharth sir,01:00 To 02:00,
,8880042374,Namra Sahasrabuddhe,C Programming (6 months),Siddharth Sir,01:00 To 02:00,
,7770088314,Kavya Dandekar,Computer Basics,vansh sir,07:00 To 08:00,
,9991141116,ISHAN SATHAYE,Canva,Yash Sir,12:00 To 01:00,
,7770072744,Keya Kelkar,10th std school course,Vansh sir,07:00 To 08:00,
,77700616890,Riddhi Inamdar ,Basic Computer Accounting,subin sir,06:00 To 07:00,
,999004653,Keya Mahabal,Digital Marketing & SEO,Yash sir,05:00 To 06:00,
,9991123712---9990088223,Tanish Joglekar,Computer Accounting,Vansh sir,12:00 To 01:00,
,8882298393,Riddhi Phadke,Business Analytics (M-2 & M-3),Siddharth Sir,05:00 To 06:00,
,8880018606,Devansh Limaye,Kids Course,Vansh Sir,06:00 To 07:00,
,8882278874,Yashvi Lele,Advanced Python Programming (5 Modules) (M-2 & M-3),Trusha mam,01:00 To 02:00,
,88-80092221,Tanvi Mhatre,Digital Marketing ,Vansh Sir,06:00 To 07:00,
,6660085812,Mahek Ranadive,Business Analytics,Vansh sir,04:00 To 05:00,
,9990019658,Isha Vartak,Video Editing,Trusha,10:00 To 11:00,
,8882203639,Advait Paranjape,Computer Basics,Subin sir,06:00 To 07:00,
,8880027969,Raghav Nadkarni,Basic Graphic Designing,vansh sir,10:00 To 11:00,
,7770005129,Tanish Lele,Advanced Certificate in Data Analytics & Data Science,Siddharth Sir,04:00 To 05:00,
,9991182813,Aarav Jamdar,Advanced Python Programming (5 Modules),Trusha,04:00 To 05:00,
,9991148965,Dhruv Tembe,Advance Excel ,Trusha mam,07:00 To 08:00,
,6660023134,namra yardi,Advanced Python Programming (5 Modules),Trusha mam,11:00 To 12:00,
,8882221840,Vedant Chandorkar,Business Analytics module 2,vansh sir,04:00 To 05:00,
,6660007654,jiya sahasrabuddhe,Advanced Certificate in Data Analytics & Data Science,Trusha,05:00 To 06:00,
,8880078664,Tembe Dhruv,Diploma in Front End Development (6 months),Mansi mam,03:00 To 04:00,
,7770072744,Keya Kelkar,Python OOP,Trusha,03:00 To 04:00,
,6660047369,Jainam Bhide,11th IP (M-2 & M-3),Siddharth sir,07:00 To 08:00,
,8882272895,Charvi Kirloskar,Scratch Programming (m-1),Yash k,10:00 To 11:00,
,8882227279,Hetvi Gokhale,Core Python Programming,subin sir,03:00 To 04:00,
,9990085118,Aditi Godbole,Whole Python Programming,Siddharth Sir,06:00 To 07:00,
,9990062501,Niyati Barhate,Python OOP,SUBIN SIR,03:00 To 04:00,
,9991159261,Rudra Nene,Advanced Certificate in Data Analytics & Data Science,Yash k,04:00 To 05:00,
,8882238616,Ranadive Priya,C & C++,Mansi mam,05:00 To 06:00,
,8880084127,Anish Deolekar,Data Analysis,Subin Sir,11:00 To 12:00,
,8882231745,Niyati Dhond,Business Analytics ,Siddharth sir,10:00 To 11:00,
,99900148056,Vedant Wagle ,Python OOP,Yash Sir,04:00 To 05:00,
,8880018276,rachit wadekar,Advance Excel,vansh sir,10:00 To 11:00,
,08882238616,Priya Ranadive,Graphic Designing,Subin sir,05:00 To 06:00,
,9990091911,Aarav Ranadive,12th Computer Science ,Trusha,01:00 To 02:00,
,7770081413,JANVI LELE,Computer Basics,Subin Sir,02:00 To 03:00,
,9991181740,Khushi Joglekar,Combo Course (Computer Basics & Advanced Excel with Power BI),Mansi Mam,10:00 To 11:00,
,8880018276,Rachit Wadekar,Advanced Graphic Designing (6 mths),vansh sir,01:00 To 02:00,
,,Devansh Bapat,Advance Excel,Vansh sir,06:00 To 07:00,
,8882204991,Ganvir Tirth,Diploma in Front End Development,subin sir,12:00 To 01:00,
,8882244703,Tanvi Karnik,Diploma in Front End Development,subin sir,02:00 To 03:00,
,6660028515,Dhruv Sathaye,Diploma in Web Development,Siddharth Sir,03:00 To 04:00,
,9991109383,siddhi khaparde ,Core Python Programming,Trusha mam,03:00 To 04:00,
,8882238211,Krish Gokhale,Core Python Programming,Vansh sir,04:00 To 05:00,
,8880042374,Namra Sahasrabuddhe,Advance Excel,Siddharth Sir,05:00 To 06:00,
,,Urvi Godbole,Advanced Certificate in Data Analytics & Data Science,Yash Kanodia Sir,01:00 To 02:00,
,9990086996,Velankar Krupa ,Advanced Python Programming (5 Modules) (6 months),SUBIN SIR,05:00 To 06:00,
,8882209985,Bhavya Paranjape,Digital Marketing & SEO,Mansi Mam,01:00 To 02:00,
,8880032075,Dhruv Godbole,Computer Basics & Scratch Programming,Trusha Mam,05:00 To 06:00,
,8880077844,Dhruv Sathaye,Advanced Computer Accounting (Module 2),Subin sir,10:00 To 11:00,
,7770030231,Tirth Tembe,Digital Marketing,Subin Sir,12:00 To 01:00,
,7770096943,Ananya Chandorkar,Computer Accounting,Yash Sir,07:00 To 08:00,
,7770096943,Ananya Chandorkar,Advanced Python Programming (5 Modules),Mansi Mam,11:00 To 12:00,
,7770047704,Subin,Combo Course (Computer Basics & Advanced Excel with Power BI),vansh sir,03:00 To 04:00,
,6660005778,vihaan wagle,Advance Excel,Mansi Mam,05:00 To 06:00,
,8880064824,Pooja Tembe,UI & UX development,Siddharth Sir,01:00 To 02:00,
,9991112447,Jainam Deolekar,12th Computer Science (with zero module),Mansi Mam,07:00 To 08:00,
,9990000092,Zeel Phadke ,Computer Accounting,Trusha Mam,03:00 To 04:00,
,9990019103,Shaurya Ubhaykar,Computer Accounting,Mansi mam,07:00 To 08:00,
,9991138721,Charvi Limaye,Social Media Marketing (DM-2) (m-1),Mansi mam,11:00 To 12:00,
,6660086995,Devansh Wadekar,Full Stack Development,Vansh sir,12:00 To 01:00,
,7770091253,Krupa Ganvir,UI & UX development ,Trusha mam,02:00 To 03:00,
,7770082876,Urvi Godbole,Social Media Marketing (DM-2),Yash Sir,03:00 To 04:00,
,8880077844,DHRUV SATHAYE,Diploma in Front End Development,Mansi Mam,04:00 To 05:00,
,8882203639,Advait Paranjape,Diploma in Web Development,Siddharth Sir,01:00 To 02:00,
,,zzzzz (Don't Delete),,,,
,07770010601,Divya Kalelkar,Kids Course,Yash Sir,01:00 To 02:00,
,,Rachit Hardikar,Advanced Graphic Designing (6 mths) (6 months),Siddharth Sir,02:00 To 03:00,
,9990096049,Chandorkar Riddhi ,Adobe Photoshop (6 months),Mansi Mam,12:00 To 01:00,
,8882225261,Pooja Lele,Scratch Programming,Mansi Mam,12:00 To 01:00,
,8880092221,Tanvi Mhatre,Digital Marketing,Subin Sir,04:00 To 05:00,
,9990019658,Isha Vartak,Social Media Marketing (DM-2),Siddharth Sir,10:00 To 11:00,
,9990000092,Zeel Phadke,Basic Computer Accounting,Subin sir,07:00 To 08:00,
,9990000092,zeel phadke ,Advanced Graphic Designing (6 mths) (M-1),vansh sir,02:00 To 03:00,
,8882221840,Vedant Chandorkar,Canva,Mansi mam,12:00 To 01:00,
,7770048766,Priya Ganvir,Advanced Certificate in Python Development & Generative AI,subin sir,11:00 To 12:00,
,9991127927,Shreya Kelkar,Diploma in Front End Development,Mansi Mam,07:00 To 08:00,
,6660097814,Priya Kelkar,Scratch Programming,Yash Sir,07:00 To 08:00,
,+8188800218819,Darsh Lele,10th std school course,Yash Sir,01:00 To 02:00,
,6660006908,Nidhi Wadekar,Social Media Marketing (DM-2) (M-1),Trusha,11:00 To 12:00,
,7770097263,Pranav Joglekar,Business Analytics,Mansi Mam,04:00 To 05:00,
,9990062501,Niyati Barhate,Digital Marketing (6 months),Yash k,03:00 To 04:00,
,"7770010779, 7770011281",Dhruv Yardi,Diploma in Front End Development,Subin Sir,10:00 To 11:00,
,6660081904,Urvi Mahabal,Graphic Designing ,Mansi mam,07:00 To 08:00,
,9991174417,Kavya Chandorkar,UI & UX development,subin sir,04:00 To 05:00,
,9990063919,Hetvi Deolekar,Computer Accounting,Vansh sir,12:00 To 01:00,
,+917770074964,Naisha Kelkar,Python OOP,Vansh sir,01:00 To 02:00,
,8880018606,Devansh Limaye,C Programming,Trusha mam,02:00 To 03:00,
,9991174417,Kavya Chandorkar,COMPUTER BASICS & SCRATCH PROGRAMMING,Siddharth sir,05:00 To 06:00,
,6660078329,Keya Talpade,computer basics,Mansi Mam,06:00 To 07:00,
05/04/2024 14:22:25,88800699657,Ananya Nadkarni,Computer Accounting ,Yash k,07:00 To 08:00,
12/04/2024 11:20:05,8882230421,Avni Godbole,Web Designing,Yash Sir,06:00 To 07:00,
12/04/2024 18:39:13,8880021881,Darsh Lele,Basic Graphic Designing (Online),Trusha,04:00 To 05:00,
15/04/2024 15:40:20,6660023134,Yardi Namra ,12th Computer Science (6 months),Yash sir,04:00 To 05:00,
09/05/2024 10:46:59,8882261029,Tanvi Velankar,Computer Accounting,Siddharth Sir,12:00 To 01:00,
20/05/2024 14:31:16,07770072744,Keya Kelkar,C Programming,vansh sir,06:00 To 07:00,
30/05/2024 20:28:21,8880010942,Anish Bhide,Computer Accounting,Vansh sir,04:00 To 05:00,
12/06/2024 17:44:26,7770072744,Keya Kelkar,Advanced Graphic Designing (6 mths),Vansh sir,11:00 To 12:00,
15/06/2024 20:52:57,"8880004714, 8882202465",Shaurya Wadekar,Core Python Programming,Trusha Mam,12:00 To 01:00,
17/06/2024 18:26:56,888001860,Devansh Limaye ,Combo Course (Computer Basics & Advanced Excel with Power BI),Siddharth sir,01:00 To 02:00,
16/06/2024 18:28:25,8880010942,ANISH BHIDE ,Advanced Excel (M-1 & M-2),Mansi Mam,02:00 To 03:00,
20/06/2024 9:23:37,8880078664,Dhruv Tembe,Social Media Marketing (DM-2),Subin sir,05:00 To 06:00,
28/06/2024 12:00:31,88800423746,Namra Sahasrabuddhe,Basic Computer Accounting,Vansh Sir,07:00 To 08:00,
30/06/2024 20:39:57,999112092,Arnav Bapat ,Video Editing,Yash Sir,02:00 To 03:00,
11/07/2024 12:54:23,8882260114,Zeel Jamdar ,Digital Marketing,Siddharth sir,12:00 To 01:00,
14/07/2024 11:10:01,8880092221,Tanvi Mhatre,Advanced Excel (M-1 & M-2),Mansi mam,11:00 To 12:00,
19/07/2024 11:20:02,8880026097,Samarth Gokhale,Social Media Marketing (DM-2),Trusha,10:00 To 11:00,
23/07/2024 12:40:46,09991158546,Lakshya Gokhale,Data Analysis,Yash sir,04:00 To 05:00,
28/07/2024 9:07:40,9991138721,Charvi Limaye,Adobe Photoshop,Yash Kanodia Sir,04:00 To 05:00,
19/08/2024 9:04:06,6660047369,jainam bhide,Computer Basics & Scratch Programming (6 months),Yash k,06:00 To 07:00,
23/08/2024 9:58:28,6660007615,Advait Vartak,Web Designing,subin sir,11:00 To 12:00,
29/08/2024 17:38:56,9990076248,Manan Inamdar,Advanced Certificate in Python Development & Generative AI,Yash Sir,02:00 To 03:00,
07/09/2024 15:24:11,6660078329,Keya Talpade,POWER BI,Mansi Mam,12:00 To 01:00,
10/09/2024 10:33:49,9991123712,Tanish Joglekar ,10th std school course,Siddharth sir,05:00 To 06:00,
25/09/2024 10:17:02,8882298393,Riddhi Phadke,Advanced Excel (M-1 & M-2),vansh sir,11:00 To 12:00,
01/10/2024 16:23:33,88822099853,Bhavya Paranjape,C & C++,Siddharth Sir,02:00 To 03:00,
03/10/2024 15:55:51,9991112168,Priya Hardikar,COMPUTER BASICS & SCRATCH PROGRAMMING,Trusha Mam,11:00 To 12:00,
23/10/2024 16:18:11,8880018606,Devansh Limaye,Data Analysis,Yash k,10:00 To 11:00,
30/10/2024 9:00:20,8880027969,Raghav Nadkarni,Web Designing,vansh sir,03:00 To 04:00,
09/11/2024 9:44:05,9990062501,Niyati Barhate ,Advanced Python Programming (5 Modules),SUBIN SIR,01:00 To 02:00,
14/11/2024 10:06:36,7770006238,Sanya Bhide ,Adobe Photoshop,subin sir,05:00 To 06:00,
18/11/2024 12:29:48,8882214637,Mihir Nadkarni ,Combo Course (Computer Basics & Advanced Excel with Power BI) (M-2 & M-3),Mansi Mam,01:00 To 02:00,
17/11/2024 17:33:00,8882238211,Krish Gokhale,Python Programming,Vansh Sir,07:00 To 08:00,
19/11/2024 12:34:56,9990072622,Avni Paranjape,WEB DESIGNING,Mansi Mam,11:00 To 12:00,
30/11/2024 19:58:58,9990050279,Niyati Marathe,Data Analysis,subin sir,06:00 To 07:00,
30/11/2024 20:38:09,8882227279,Hetvi Gokhale ,Combo Course (Computer Basics & Advanced Excel with Power BI),Subin sir,06:00 To 07:00,
02/12/2024 13:43:17,6660023993,Vansh,C & C++ (Online),Mansi Mam,05:00 To 06:00,
07/12/2024 10:12:15,8882218327,Kavya Inamdar,CORE JAVA PROGRAMMING,Mansi Mam,02:00 To 03:00,
10/12/2024 13:28:00,9991159261,Rudra Nene,Advanced Certificate in Data Analytics & Data Science,Subin Sir,03:00 To 04:00,
23/12/2024 12:27:49,8882238616,Priya Ranadive,Business Analytics (Module 2),SUBIN SIR,12:00 To 01:00,
27/12/2024 14:31:30,99-90076486,Shaurya Chitnis,10th std school course,SUBIN SIR,03:00 To 04:00,
10/01/2025 11:18:21,8880018276,Wadekar Rachit,Social Media Marketing (DM-2),Siddharth Sir,06:00 To 07:00,
12/01/2025 10:37:05,8880062428,Krish Nene,Advanced Computer Accounting,Siddharth sir,04:00 To 05:00,
19/01/2025 20:21:13,9990091911,Aarav Ranadive,Basic Computer Accounting,Siddharth Sir,05:00 To 06:00,
20/01/2025 15:58:14,7770081413,Janvi Lele,Advanced Computer Accounting,Vansh sir,06:00 To 07:00,
22/01/2025 13:07:58,8882290782,Sachi Jamdar ,Combo Course (Computer Basics & Advanced Excel with Power BI) ,Yash sir,02:00 To 03:00,
26/01/2025 15:59:40,8880027969,Raghav Nadkarni,Python Programming,SUBIN SIR,03:00 To 04:00,
25/01/2025 20:15:31,7770065086,Pranav Karnik,C Programming,Trusha,03:00 To 04:00,
30/01/2025 16:00:07,7770080872,Devansh Bapat,Canva,Trusha,07:00 To 08:00,
13/02/2025 12:06:36,8880010942,Anish Bhide,Video Editing,Yash Sir,01:00 To 02:00,
18/02/2025 14:57:23,6660039587,Vedant Karnik,Basic Computer Accounting,Yash Sir,04:00 To 05:00,
26/02/2025 20:46:51,8882264798,Kelkar Shaurya,Canva (M-1),Trusha mam,12:00 To 01:00,
07/03/2025 13:21:45,8882225563,Manan Dandekar,Computer Basics & Scratch Programming,Subin Sir,12:00 To 01:00,
19/03/2025 9:23:02,7770082876,Urvi Godbole,Computer Basics,Trusha Mam,05:00 To 06:00,
21/03/2025 16:03:11,9990086996,Krupa Velankar ,Core Java Programming,Trusha mam,10:00 To 11:00,
24/03/2025 19:48:17,+155501025,Aarav Jamdar ,Advanced Graphic Designing (6 mths) (with zero module),subin sir,04:00 To 05:00,
26/03/2025 11:45:52,66600231349,Namra Yardi,Diploma in Front End Development (m-1),Yash Sir,02:00 To 03:00,
05/04/2025 10:34:37,9991116760,Khushi Dhond,Python Programming,Vansh sir,05:00 To 06:00,
09/04/2025 9:40:46,6660081069,Isha Khaparde,Graphic Designing,Siddharth Sir,10:00 To 11:00,
15/04/2025 20:56:40,9990010550,Devansh Chaphekar,Core Java Programming,Trusha Mam,05:00 To 06:00,
15/04/2025 13:29:16,7770030231,Tembe Tirth,Scratch Programming,Trusha Mam,05:00 To 06:00,
17/04/2025 19:30:13,,Pooja Inamdar,C & C++,Yash k,11:00 To 12:00,
21/04/2025 10:24:05,8880078664,Dhruv Tembe,Advanced Certificate in Python Development & Generative AI,Vansh Sir,10:00 To 11:00,
27/04/2025 18:26:12,7770047704,Subin,Advance Excel (Module 2),Siddharth sir,05:00 To 06:00,
22/05/2025 9:44:50,8880064824,Pooja Tembe,Combo Course (Computer Basics & Advanced Excel with Power BI),Mansi mam,03:00 To 04:00,
21/05/2025 16:00:21,8880085013,Rudra Ahluwalia ,Full Stack Development,Yash sir,11:00 To 12:00,
25/05/2025 17:57:02,06660097814,Priya Kelkar,12th Computer Science (module 2 & 3),Trusha mam,10:00 To 11:00,
30/05/2025 19:30:16,9991158876,Nidhi Oak,11th IP module 2,Siddharth sir,05:00 To 06:00,
01/06/2025 11:45:40,9991154120,vansh mhatre,FULL STACK DEVELOPMENT,Siddharth Sir,07:00 To 08:00,
14/06/2025 19:29:58,6660017906,Tanish Karnik,Computer Basics & Scratch Programming,Siddharth Sir,03:00 To 04:00,
15/06/2025 11:52:47,+8177700256966,Priya Chaphekar,ADVANCED EXCEL (M-1 & M-2),SUBIN SIR,12:00 To 01:00,
20/06/2025 15:48:11,6660051833,Garv Velankar,C Programming (6 months),Yash sir,04:00 To 05:00,
30/06/2025 13:17:04,8882256692,Vihaan Sahasrabuddhe,Core Python Programming,Trusha,01:00 To 02:00,
07/07/2025 12:18:16,8880069965,ananya nadkarni,Kids Course (Module 2),Mansi Mam,01:00 To 02:00,
11/07/2025 9:30:55,9991124120,Ananya Inamdar,Scratch Programming,Trusha,04:00 To 05:00,
19/07/2025 10:40:18,9990096049,Riddhi Chandorkar,Digital Marketing & SEO,Vansh Sir,03:00 To 04:00,
23/07/2025 20:29:55,66600239933,Vansh,Diploma in Front End Development,Yash Kanodia Sir,05:00 To 06:00,
24/07/2025 13:17:43,9991186184,janvi lele,C Programming,Yash Kanodia Sir,02:00 To 03:00,
01/08/2025 19:10:13,77700912531,Krupa Ganvir,Kids Course,Siddharth Sir,05:00 To 06:00,
05/08/2025 11:45:56,9990000092,zeel phadke,full stack development,Yash sir,07:00 To 08:00,
05/08/2025 19:26:51,9991127927,Shreya Kelkar,Advanced Graphic Designing (6 mths) (with zero module),Mansi Mam,03:00 To 04:00,
09/08/2025 9:51:16,8882203639,Advait Paranjape,Advanced Excel (M-1 & M-2),Mansi mam,04:00 To 05:00,
07/08/2025 13:59:02,8880021881,Darsh Lele,Video Editing,Trusha Mam,01:00 To 02:00,
13/08/2025 10:12:30,7770091034,Vedant Tembe,Data Analysis (Online),vansh sir,01:00 To 02:00,
13/08/2025 14:45:33,9990012540,Sanya Ranadive,Power BI,Vansh Sir,06:00 To 07:00,
14/08/2025 14:20:12,7770030231,Tirth Tembe ,Digital Marketing & SEO ,Yash Sir,02:00 To 03:00,
16/08/2025 11:10:16,777001077,Dhruv Yardi,Advanced Graphic Designing (6 mths),Yash sir,11:00 To 12:00,
23/08/2025 13:37:33,7770008894,Vansh Oak ,Power BI,Vansh Sir,04:00 To 05:00,
02/09/2025 19:53:58,6660081904,Urvi Mahabal,Combo Course (Computer Basics & Advanced Excel with Power BI),vansh sir,03:00 To 04:00,
08/09/2025 13:36:02,9990063919,Hetvi Deolekar,Video Editing,Siddharth sir,01:00 To 02:00,
16/09/2025 13:14:18,8882287976,Ananya Sahasrabuddhe,Scratch Programming,Mansi Mam,04:00 To 05:00,
19/09/2025 12:28:03,7770074964,Naisha Kelkar,Basic Graphic Designing,Vansh Sir,05:00 To 06:00,
26/09/2025 17:02:22,9991123712,Tanish Joglekar,10th std school course,Mansi mam,01:00 To 02:00,
25/09/2025 17:51:26,9991174417,Kavya Chandorkar,Advanced Graphic Designing (6 mths) (M-1),Siddharth Sir,12:00 To 01:00,
27/09/2025 14:22:43,6660078329,Keya Talpade,Digital Marketing,Siddharth Sir,07:00 To 08:00,
01/10/2025 9:04:27,6660007615,Advait Vartak,UI & UX development,Subin sir,11:00 To 12:00,
18/10/2025 11:10:59,7770076925,Pooja Inamdar,Computer Accounting,Yash Sir,06:00 To 07:00,
27/10/2025 19:51:08,8882256692,Vihaan Sahasrabuddhe,Digital Marketing & SEO,Mansi Mam,01:00 To 02:00,
30/10/2025 15:28:07,9990067249,Riddhi Rege,GRAPHIC DESIGNING,Subin Sir,10:00 To 11:00,
06/11/2025 11:47:29,"8882261029, 6660086571",Tanvi Velankar,Advanced Python Programming (5 Modules),Trusha Mam,03:00 To 04:00,
10/11/2025 12:50:43,7770025696,Priya Chaphekar,Adobe Photoshop,Vansh Sir,11:00 To 12:00,
15/11/2025 20:03:57,8880085013,Rudra Ahluwalia,C & C++ ,Yash sir,02:00 To 03:00,
18/11/2025 9:23:01,7770036410,Darsh Chaphekar ,Advanced Excel (M-1 & M-2),SUBIN SIR,10:00 To 11:00,
21/11/2025 18:20:46,+155501030,Sanya Ranadive,Advanced Python Programming (5 Modules) (M-2 & M-3),Siddharth Sir,11:00 To 12:00,
24/11/2025 12:08:17,8880064824,Pooja Tembe ,Business Analytics ,Vansh Sir,10:00 To 11:00,
27/11/2025 18:35:43,6660077908,Radhika Bapat,Canva ,Vansh Sir,07:00 To 08:00,
17/12/2025 16:30:08,8882261029,Tanvi Velankar,C Programming,Trusha mam,10:00 To 11:00,
01/01/2026 12:14:57,"9991148965, 9990068095",Dhruv Tembe,Python Programming,Siddharth Sir,02:00 To 03:00,
02/01/2026 20:14:13,9991193043,Mansi,Advanced Excel (M-1 & M-2),Vansh sir,12:00 To 01:00,
06/01/2026 13:07:01,8882204991,Tirth Ganvir ,10th std school course,Trusha Mam,06:00 To 07:00,
11/01/2026 10:57:28,9991120923,Arnav Bapat,12th Computer Science,Yash sir,10:00 To 11:00,
11/01/2026 11:11:12,7770091034,Vedant Tembe,Video Editing,Trusha Mam,03:00 To 04:00,
12/02/2026 17:53:31,6660017906,Tanish Karnik,C & C++ (6 months),Trusha mam,04:00 To 05:00,
17/02/2026 16:21:09,9991138721,Charvi Limaye,Basic Computer Accounting,Vansh sir,07:00 To 08:00,
09/03/2026 19:53:14,7770088314,KAVYA DANDEKAR,PYTHON OOP,Yash Kanodia Sir,06:00 To 07:00,
20/03/2026 17:42:54,9991141116,Ishan Sathaye,Professional Office & Generative AI Essentials module 2,Trusha,07:00 To 08:00,
29/03/2026 12:01:53,6660047369,Bhide Jainam ,Canva module 2,Trusha mam,01:00 To 02:00,
