Timestamp,Email Address,Which Course do you want to Learn ?,Name,Mobile No (Student),Address,Education,"Presently What Are you Doing ? (Student, Business, Job, Housewife, etc...)","From Where Do You Know About Us ? (Google, Social Media, Friends, Old students, etc...)",Preferred Batch Time,Mobile No (Parent / guardian 1),Preferred Branch ,Preferred Days,Your Photograph,Faculty,Email Address,Mobile No (Parent / guardian 2),Any Other Notes,Counsellor Name ,,Mode of Enquiry,Date of Enquiry,Date of Birth,Receipt ID,Process Status
20/05/2024 9:57:07,,"Advance Excel, Diploma in Web Development",Mansi,9991193043,"D-693, Mocklight Apartments, Magdalla",12th,,Google,,,Citylight,,,,riddhioak3778@example.com,9991117975,,Mansi mam,,,,,,
21/05/2024 11:05:56,,Adobe Photoshop,Jiya Dhond,9991154464,"G-591, Sample Heights, Umra",,Business,old student,,888004597,Pal,,,,jiyadhond9116@example.com,,,Vansh sir,,,,,,
28/05/2024 20:55:12,,Advanced Certificate in Data Analytics & Data Science module 2,Manan Inamdar,9990076248,"F-928, Fixture Villa, Piplod",12,Other ,Internet ,,,Vesu,,,,,8880051777,,Yash Kanodia Sir,,,,,,
01/06/2024 15:50:06,,"Python OOP, Advanced Computer Accounting",Tanish Joglekar,9991123712,"B-492, Example Estate, Adajan",10,Housewife,Banner,,8880043904,Vesu,,,,tanishjoglekar3356@example.com,,,Mansi Mam,,,,,,
18/06/2024 14:20:28,,Basic Graphic Designing ,Parth Lele (indiamart),+918880034618,"C-208, Synthetic Square, Umra",NA,Business / Job,Social Media ,,9990093488,Vesu,,,,parthlele4487@example.com,,DOB: 11/11/2015,Subin sir,,,,,,
24/06/2024 20:48:42,,"Digital Marketing & SEO, Advance Excel",Namra Yardi,6660023134,"D-907, Specimen Skyline, Umra",MBA,Freelance,Social media,,9991119595,Vesu,,,,,6660007242,,Subin sir,,,,,,
02/07/2024 14:18:04,,Power BI,Hetvi Gokhale,8882227279,"C-938, Synthetic Square, Althan",MBA,Job,Friends,,,Pal,,,,hetvigokhale2273@example.com,8880068531,,Trusha mam,,,,,,
07/07/2024 20:02:24,,Social Media Marketing (DM-2),Anish Deolekar ,8880084127,"A-1078, Example Estate, Citylight",Post Graduation,,Hoarding ,,,Citylight,,,,anishdeolekar3404@example.com,,,Subin sir,,,,,,
11/07/2024 18:11:22,,"11th IP, Web Designing",charvi chandorkar,7770083744,"D-353, Demo Enclave, Pal",9th std,NA,Relatives ,,8880008648,Vesu,,,,,,,Vansh sir,,,,,,
11/07/2024 12:44:36,,Advanced Certificate in Python Development & Generative AI,Bhavya Deolekar (indiamart),,,11,Business,Social Media ,,7770068046,Vesu,,,,,,,Vansh sir,,,,,,
16/07/2024 19:44:32,,"Digital Marketing, Web Designing",Manan Dandekar,8882225563,,10,Business,,,6660044131,Vesu,,,,manandandekar1483@example.com,+916660070274,,vansh sir,,,,,,
18/07/2024 10:21:36,,"Core Java Programming, Video Editing",sachi paranjape,7770061170,,B.C.A,Other ,Walkin,,8882222077,Vesu,,,,sachiparanjape7654@example.com,,,Mansi Mam,,,,,,
27/07/2024 13:17:11,,"Adobe Photoshop, Basic Computer Accounting",Vihaan Wagle,6660005778,,12,Job,Old Enquiry,,8882214364,Citylight,,,,vihaanwagle6142@example.com,,,Mansi mam,,,,,,
07/08/2024 18:06:46,,"12th Computer Science, Advanced Certificate in Data Analytics & Data Science",Garv Dandekar,888226176,"E-825, Trial Towers, Rander",MBA,Job,Social Media ,,,Vesu,,,,garvdandekar2806@example.com,,,Subin sir,,,,,,
11/08/2024 12:16:43,,10th std school course,Divya Kalelkar ,7770010601,"G-1110, Example Estate, Udhna",Na,,Old students,,"7770007645, 9990061762",Vesu,,,,divyakalelkar2761@example.com,,,Yash k,,,,,,
13/08/2024 15:14:39,,Advanced Graphic Designing (6 mths),Isha Vartak ,9990019658,"G-380, Mocklight Apartments, Jahangirpura",Graduation ,Business / Job,old student,,,Vesu,,,,ishavartak1247@example.com,,,Siddharth Sir,,,,,,
14/08/2024 17:15:49,,C Programming (6 months),DARSH LELE,8880021881,"F-324, Sample Heights, Varachha",B.C.A,Other ,Walk in,,6660056905,Vesu,,,,,,,SUBIN SIR,,,,,,
14/08/2024 14:03:47,,Advanced Python Programming (5 Modules),Zeel Kelkar,9990089860,"B-570, Placeholder Palace, New citylight",Graduate,Student ,Social media,,9991187796,Pal,,,,,,,Yash k,,,,,,
19/08/2024 18:03:07,,"Computer Accounting, Core Java Programming",Kavya Chandorkar,9991174417,"C-264, Faux Fortune, Vesu",10,Other ,Indiamart,,7770081479,Pal,,,,kavyachandorkar4934@example.com,,,Siddharth Sir,,,,,,
23/08/2024 18:36:09,,10th std school course,Pooja Sathaye,9990065503,"G-1148, Notional Nivas, Palanpur",11,Student,Family,,,Vesu,,,,poojasathaye1981@example.com,,,Siddharth Sir,,,,,,
31/08/2024 13:02:38,,Computer Basics & Scratch Programming,Keya Mahabal,9990046532,"G-869, Stub Sankul, Citylight",Na,Housewife ,Walkin,,888225993,Pal,,,,keyamahabal3877@example.com,,,SUBIN SIR,,,,,,
07/09/2024 18:34:38,,"C & C++ (m-1), 12th Computer Science",Vedant Ranadive ,8880098337,"E-794, Dummy Darshan, Pandesara",11,Housewife ,Old students,,7770048552,Citylight,,,,vedantranadive854@example.com,,,Mansi Mam,,,,,,
14/09/2024 19:43:37,,Power BI,Mihir Bapat,8880072304,"A-772, Demo Enclave, Udhna",9,Teacher,Walk in,,,Vesu,,,,mihirbapat3403@example.com,,,Vansh Sir,,,,,,
18/09/2024 12:46:22,,"11th IP (6 months), Social Media Marketing (DM-2)",Lakshya Gokhale,9991158546,"G-496, Stub Sankul, Umra",Diploma,Business / Job,google,,,Vesu,,,,lakshyagokhale8893@example.com,,,Yash k,,,,,,
21/09/2024 9:51:27,,"Video Editing (6 months), Advanced Certificate in Data Analytics & Data Science",Keya Kelkar,7770072744,"G-389, Mocklight Apartments, Vesu",BBA,Job,Reference ,,8880047855,Vesu,,,,"keyakelkar1538@example ,com",8880072410,,Mansi mam,,,,,,
25/09/2024 13:11:51,,Basic Computer Accounting,Lele Yashvi,8882278874,,12th completed ,Other ,Friends,,,Vesu,,,,yashvilele4117@example.com,,,Yash Kanodia Sir,,,,,,
26/09/2024 14:19:24,,Power BI,Tanish Lele,7770005129,"G-879, Trial Towers, Udhna",11th ,Freelance,NA,,8880031866,Citylight,,,,tanishlele2407@example.com,,,vansh sir,,,,,,
29/09/2024 20:43:10,,"Scratch Programming (module 2 & 3), Computer Basics",Naisha Kelkar ,7770034959,"C-633, Notional Nivas, Citylight",11,Housewife ,Family,,,Pal,,,,,,,Siddharth Sir,,,,,,
30/09/2024 11:22:56,,Combo Course (Computer Basics & Advanced Excel with Power BI) (M-2 & M-3),Kavya Inamdar,8882218327,"F-988, Specimen Skyline, Bhatar",11,Business,Hoarding ,,9991164842,Vesu,,,,,,,Mansi mam,,,,,,
01/10/2024 12:10:58,,"10th std school course , Digital Marketing",Rachit Wadekar,8880018276,"G-489, Dummy Darshan, Pandesara",12th completed ,,Relatives ,,,Pal,,,,rachitwadekar6463@example.com,,,Trusha,,,,,,
08/10/2024 18:49:27,,"Python Programming, Computer Accounting",Pranav Karnik,7770065086,"G-1152, Placeholder Palace, Varachha",BBA,,Social media,,6660090697,Citylight,,,,"pranavkarnik3526@example ,com",9991105587,They want someone in morning 8 o clock,subin sir,,,,,,
12/10/2024 9:06:36,,Video Editing,Vedant Karnik,06660039587,"F-609, Testvan Residency, Ghodhod road",Graduation ,Housewife,Old students,,,Citylight,,,,vedantkarnik9882@example.com,6660020582,,vansh sir,,,,,,
20/10/2024 12:49:06,,"UI & UX development, Digital Marketing & SEO",Dhruv Godbole,8880032075,"D-584, Synthetic Square, New citylight",BBA,Teacher,Friend ,,,citylight,,,,dhruvgodbole3542@example.com,,,Siddharth sir,,,,,,
25/10/2024 14:55:58,,digital marketing & seo,Pooja Inamdar,7770076925---6660056380,"C-1028, Notional Nivas, Udhna",9,Business,Friend ,,7770018090,Citylight,,,,,,,Trusha mam,,,,,,
31/10/2024 10:40:58,,ADVANCED CERTIFICATE IN DATA ANALYTICS & DATA SCIENCE,Shaurya Ubhaykar,9990019103,"B-1157, Demo Enclave, Jahangirpura",12th,Teacher,NA,,,Vesu,,,,,,,Trusha,,,,,,
05/11/2024 13:07:02,,Canva,Garv Velankar,6660051833,"C-882, Trial Towers, Palanpur",9th std,student,old student,,6660042284,Pal,,,,,,,vansh sir,,,,,,
08/11/2024 17:52:49,,"Python OOP, Basic Computer Accounting",Pooja Lele,8882225261,"E-872, Dummy Darshan, Pandesara",9,Housewife ,Internet ,,,Citylight,,,,poojalele4391@example.com,+917770014583,,Siddharth Sir,,,,,,
15/11/2024 11:22:20,,advanced python programming (5 modules),Priya Ganvir,7770048766---9990089716,"E-204, Faux Fortune, Bhatar",9th std,,Old students,,,Citylight,,,,itâ€™s_priyaganvir3862@example.in,7770070895,,Siddharth sir,,,,,,
17/11/2024 12:55:33,,Advanced Excel (M-1 & M-2) module 2,Dhruv Yardi,77700107799,"E-318, Fixture Villa, Jahangirpura",Diploma,NA,Hoarding ,,,Citylight,,,,,,,Yash Sir,,,,,,
18/11/2024 18:18:09,,Digital Marketing & SEO,Niyati Dhond,8882231745,"G-739, Fixture Villa, Parle point",Bcom,student,Banner,,9990027574,Pal,,,,,,,Yash k,,,,,,
20/11/2024 17:32:37,,Advanced Certificate in Python Development & Generative AI,Nadkarni Ananya,88800699656,"B-857, Synthetic Square, Althan",Graduate,NA,Walk in,,"9990062901, 8880078264",Pal,,,,ananyanadkarni913@example.com,6660049076,,Mansi mam,,,,,,
20/11/2024 13:03:05,,Scratch Programming,Shaurya Rege,7770027337,"D-1000, Notional Nivas, Pandesara",MBA,Freelance,Family,,,Citylight,,,,,,,Siddharth sir,,,,,,
14/12/2024 10:55:53,,"Diploma in Front End Development, Power BI",Shaurya Wadekar ,8880004714,"A-418, Demo Enclave, Jahangirpura",10th completed,Freelance,Internet ,,6660096144,Vesu,,,,shauryawadekar7337@example.com,,,Mansi mam,,,,,,
14/12/2024 16:10:50,,Combo Course (Computer Basics & Advanced Excel with Power BI),Tirth Ganvir,8882204991,"G-526, Stub Sankul, Katargam",9,Housewife ,Friends,,7770015306,Pal,,,,tirthganvir2083@example.com,,,Vansh sir,,,,,,
20/12/2024 15:55:18,,Advanced Certificate in Data Analytics & Data Science,tanvi mhatre,8880092221,"D-478, Synthetic Square, Rander",11th ,Student ,Google,,8880020368,pal,,,,tanvimhatre2485@example.com,,,Yash k,,,,,,
14/01/2025 14:56:03,,"Graphic Designing, C Programming",Kavya Dandekar,7770088314,"B-981, Notional Nivas, Rander",10th completed,Job,Friends,,,Vesu,,,,kavyadandekar7970@example.com,,,Trusha mam,,,,,,
14/12/2024 16:10:50,,"Digital Marketing, Scratch Programming",Riddhi Phadke,88822983935,"E-679, Trial Towers, Piplod",Diploma,NA,Internet ,,8880051477,Citylight,,,,,,,Vansh sir,,,,,,
28/01/2025 19:21:34,,"advanced excel (m-1 & m-2), Video Editing",Advait Paranjape,8882203639,,Graduate,NA,Old students,,8882220227,NA,,,,advaitparanjape9310@example.com,8882207751,,Siddharth sir,,,,,,
14/12/2024 16:10:50,,Python Programming,Vedant Chandorkar ,888222184,"G-188, Demo Enclave, Umra",11th ,Business,,,9990000411,Vesu,,,,vedantchandorkar2883@example.com,,,Siddharth sir,,,,,,
29/01/2025 13:11:01,,PYTHON PROGRAMMING,ADITI GODBOLE,999008511,,Graduate,Student,Walkin,,8880052735,Vesu,,,,NA,,,Mansi Mam,,,,,,
02/02/2025 17:03:07,,Python OOP,jiya kelkar ,8880051744,"C-1040, Placeholder Palace, Vesu",BBA,Student,Hoarding ,,,Citylight,,,,,,,Subin sir,,,,,,
14/12/2024 16:10:50,,C & C++ (Module 2),Janvi Lele,7770081413,,Graduation ,Teacher,Social media,,,Citylight,,,,janvilele4122@example.com,9990032000,,Mansi Mam,,,,,,
08/02/2025 11:54:53,,Digital Marketing,Tanvi Karnik,8882244703,"F-1046, Fixture Villa, Magdalla",11,Job,Social Media ,,08880099735,Citylight,,,,,,,Siddharth sir,,,,,,
23/02/2025 13:57:38,,12th Computer Science (M-1),Urvi Godbole,7770082876,,,Student ,Old students,,,Citylight,,,,urvigodbole5431@example.com,,,Siddharth sir,,,,,,
15/02/2025 14:20:19,,Basic Computer Accounting,Devansh Chaphekar,9990010550,"A-473, Sandbox Sadan, Piplod",BBA,Business,Friends,,6660034903,pal,,,,,,,Trusha,,,,,,
23/02/2025 13:03:38,,Advanced Excel (M-1 & M-2),Pooja Tembe,8880064824,"B-163, Demo Enclave, Althan",10,Student,Social media,,6660055259,Pal,,,,poojatembe6868@example.com,,,Siddharth sir,,,,,,
23/02/2025 12:25:47,,C Programming (6 months),Devansh Wadekar,6660086995,,9,Student ,Social media,,+155501050,Pal,,,,,,,Trusha,,,,,,
26/02/2025 16:42:27,,Kids Course,Rachit Hardikar ,6660022025,"C-208, Fixture Villa, Udhna",11th ,,Banner,,6660023675,vesu,,,,,,,Trusha,,,,,,
10/03/2025 20:49:22,,"C Programming (Online), Advanced Graphic Designing (6 mths)",Krupa Ganvir,7770091253,"A-649, Placeholder Palace, Ghodhod road",,Housewife ,Family,,9991158851,Pal,,,,NA,,,Trusha mam,,,,,,
21/03/2025 17:25:56,,Digital Marketing & SEO (M-1),nidhi wadekar,6660006908,"G-719, Trial Towers, Ghodhod road",12th completed ,,Internet ,,,pal,,,,,,,Siddharth sir,,,,,,
23/03/2025 15:25:12,,Advanced Certificate in Python Development & Generative AI (module 2 & 3),Hetvi Deolekar,9990063919,"C-1118, Faux Fortune, Katargam",Graduation ,Freelance,Walkin,,6660064354,Citylight,,,,hetvideolekar8838@example.com,,,Mansi mam,,,,,,
25/03/2025 15:56:10,,DATA ANALYSIS,Keya Talpade,6660078329,"E-680, Faux Fortune, Bhatar",Post Graduation,Student ,Indiamart,,8882245443,Citylight,,,,keyatalpade877@example.com,,,Trusha,,,,,,
28/03/2025 17:29:56,,Video Editing (Online),Tanvi Velankar,08882261029,"A-1041, Testvan Residency, Bhatar",12,Student ,Walkin,,8880025508,Vesu,,,,NA,8882290916,,Trusha Mam,,,,,,
31/03/2025 12:54:05,,Advanced Graphic Designing (6 mths),Rachit Hardikar,8882206446,,BBA,Housewife,Hoarding ,,8880057450,Pal,,,,,,,Yash k,,,,,,
12/04/2025 15:58:44,,Advanced Certificate in Data Analytics & Data Science,Dhruv Tembe,9991148965,"G-374, Mocklight Apartments, Piplod",11th ,student,Old Enquiry,,7770091694,Vesu,,,,,,total fees: 27000/-,SUBIN SIR,,,,,,
21/04/2025 18:31:23,,Advance Excel,darsh chaphekar,6660089252,"A-446, Trial Towers, Varachha",11th ,Housewife ,Family,,6660003983,Vesu,,,,,,,subin sir,,,,,,
25/04/2025 14:12:03,,Business Analytics,charvi limaye,9991138721,"G-369, Fixture Villa, New citylight",Graduate,Housewife,Friend ,,8880028245,Citylight,,,,,,,Yash Sir,,,,,,
04/05/2025 12:45:22,,"Computer Basics & Scratch Programming, Data Analysis",Riddhi Inamdar,77700616893,,10th completed,Housewife,Social Media ,,9991157160,Pal,,,,,9991166981,,subin sir,,,,,,
02/05/2025 20:12:21,,Advanced Graphic Designing (6 mths),SIDDHI UBHAYKAR,7770090450,"B-485, Specimen Skyline, Umra",11th ,Student,Internet ,,8880047374,Pal,,,,siddhiubhaykar5260@example.com,7770029287,,Subin sir,,,,,,
05/05/2025 15:39:51,,adobe photoshop,Aarav Jamdar,9991182813,"C-595, Trial Towers, Umra",MBA,Other ,Family,,9991110841,Pal,,,,,6660018337,,Siddharth Sir,,,,,,
18/05/2025 20:14:51,,python oop,Niyati Marathe,9990050279,"B-1067, Proxy Paradise, Katargam",9,Housewife ,Google,,9990080637,Pal,,,,,,,Subin sir,,,,,,
22/05/2025 9:25:15,,Graphic Designing,Rudra Nene,9991159261,"F-182, Synthetic Square, Pandesara",NA,Other ,Friends,,9991110624,Vesu,,,,rudranene7224@example.com,,,Subin Sir,,,,,,
25/05/2025 16:46:37,,"Web Designing, Core Python Programming",Krish Nene,8880062428,"F-433, Fixture Villa, Katargam",Post Graduation,Student,Indiamart,,6660002018,Vesu,,,,,,,Mansi mam,,,,,,
04/06/2025 14:28:53,,Power BI ,devansh bapat,7770080872,"C-529, Proxy Paradise, Jahangirpura",11th ,Student ,Old Enquiry,,,Pal,,,,,8880012447,,Siddharth sir,,,,,,
06/06/2025 17:18:22,,"Data Analysis (m-1), 12th Computer Science",Krish Gokhale,8882238211,"G-401, Demo Enclave, Vesu",11th ,Job,Google,,9991136878,vesu,,,,krishgokhale2532@example.com,,,Trusha mam,,,,,,
09/06/2025 16:32:20,,Business Analytics,Khushi Dhond,9991116760,,10,,,,9990015202,Pal,,,,khushidhond9412@example.com,6660033568,,Siddharth Sir,,,,,,
09/06/2025 12:53:59,,"Canva (with zero module), Power BI",Krupa Chaphekar,7770088166,"A-817, Fixture Villa, Piplod",10th completed,Housewife ,NA,,"9991154645, 8880089038",Vesu,,,,krupachaphekar2855@example.com,,,Vansh sir,,,,,,
15/06/2025 17:21:54,,"Computer Basics & Scratch Programming, 10th std school course",Nidhi Oak,9991158876,"E-417, Specimen Skyline, New citylight",Post Graduation,Other ,Social Media ,,,Pal,,,,nidhioak5966@example.com,7770070000,,Siddharth Sir,,,,,,
19/06/2025 20:41:45,,Graphic Designing,Dhruv Sathaye ,8880077844,"C-500, Dummy Darshan, Katargam",10,Business,Banner,,,Vesu,,,,,,,Siddharth sir,,,,,,
20/06/2025 18:32:39,,full stack development,Vansh,6660023993,"E-683, Proxy Paradise, Udhna",Graduation ,Other ,Family,,8880074997,Vesu,,,,,,,Siddharth sir,,,,,,
20/06/2025 16:28:44,,Computer Basics,Shreya Kelkar,9991127927,"D-826, Example Estate, Pandesara",11,Housewife ,Old Enquiry,,8882250474,Pal,,,,,9991118011,,Siddharth sir,,,,,,
23/06/2025 12:30:53,,Data Analysis,Vansh Oak,7770008894,"G-284, Stub Sankul, Bhatar",10,NA,Walk in,,,Citylight,,,,,,,Subin Sir,,,,,,
24/06/2025 13:37:09,,UI & UX development,Krish Kelkar,88800885478,"G-292, Proxy Paradise, Rander",Graduation ,NA,Reference ,,8882237885,Citylight,,,,krishkelkar1161@example.com,,,Mansi mam,,,,,,
28/06/2025 18:18:29,,Advance Excel,Avni Godbole,+155501009,"G-129, Stub Sankul, New citylight",10th completed,Teacher,Family,,6660004769,Pal,,,,avnigodbole677@example.com,,,Vansh Sir,,,,,,
28/06/2025 11:21:53,,Adobe Photoshop,Darsh Chaphekar,777003641,"C-187, Sandbox Sadan, Althan",Diploma,student,Walk in,,888001630,citylight,,,,darshchaphekar5829@example.con,,,Subin sir,,,,,,
30/06/2025 12:01:14,,Graphic Designing,Harshil Wadekar,9991198031,"C-883, Trial Towers, Rander",Na,Student,Relatives ,,999113382,Pal,,,,,,,Vansh Sir,,,,,,
03/07/2025 14:16:41,,Basic Graphic Designing,Arnav Bapat,+919991120923,"A-121, Notional Nivas, Vesu",11,Housewife ,Relatives ,,,Citylight,,,,arnavbapat1288@example.con,,,Siddharth Sir,,,,,,
07/07/2025 12:03:53,,Diploma in Front End Development,Darsh Ganvir,7770016401,"D-160, Sample Heights, Ghodhod road",11,,Internet ,,8882230706,Pal,,,,darshganvir1173@example.com,,,Subin Sir,,,,,,
15/07/2025 17:12:14,,Web Designing,Ishan Sathaye,9991141116,,MBA,Teacher,Walk in,,7770000460,Citylight,,,,ishansathaye4697@example.com,,,Siddharth sir,,,,,,
17/07/2025 13:09:54,,COMPUTER ACCOUNTING,bhavya paranjape,8882209985,"B-160, Placeholder Palace, Udhna",12th,Freelance,old student,,09990078411,Pal,,,,bhavyaparanjape8540@example.com,8880014301,,Trusha Mam,,,,,,
24/07/2025 16:31:54,,"Advanced Graphic Designing (6 mths) , Diploma in Front End Development",jiya sahasrabuddhe,6660007654,"A-1119, Faux Fortune, Vesu",NA,Freelance,Walkin,,,Pal,,,,jiyasahasrabuddhe2722@example.com,,,Mansi Mam,,,,,,
24/07/2025 12:56:19,,"Adobe Photoshop, Diploma in Front End Development",Keya Marathe (indiamart),7770058202,"E-249, Testvan Residency, Pandesara",9,NA,google,,,Pal,,,,keyamarathe4405@example.com,6660000577,,Siddharth sir,,,,,,
25/07/2025 12:43:30,,Kids Course,Ranadive Shreya,9991102236,"G-1164, Trial Towers, Parle point",9,Housewife ,Friend ,,8882246232,Pal,,,,,,,Vansh sir,,,,,,
06/08/2025 18:24:53,,"Basic Computer Accounting module 2, Diploma in Web Development",shaurya chitnis (Register for trial 4 & 6 may),9990076486,"F-201, Sample Heights, Vesu",,Student ,Social Media ,,8880080213,Citylight,,,,,8882266526,,Vansh Sir,,,,,,
05/09/2025 9:54:27,,Diploma in Front End Development (6 months),Sachi Jamdar,8882290782,,NA,Housewife ,Relatives ,,8880011146,Pal,,,,,,,Yash Kanodia Sir,,,,,,
14/09/2025 16:28:02,,12th Computer Science,ENQ-8461,6660028515,,,,,,,Pal,,,,,,,Subin Sir,,,,,,
15/09/2025 16:06:19,,Web Designing,Krupa Velankar,9990086996,,Graduate,Job,Family,,,Vesu,,,,,,,Siddharth Sir,,,,,,
20/09/2025 20:11:51,,Python Programming ,Tirth Tembe,777003023,"F-1068, Example Estate, Citylight",NA,Business / Job,Relatives ,,9991161252,Vesu,,,,,9990036531,,Mansi mam,,On Branch,20/09/2025,,,
28/09/2025 12:13:21,,Graphic Designing,Jainam Deolekar,99911124477,"B-857, Trial Towers, Ghodhod road",10th completed,,old student,,9991169713,Citylight,,,,,9991133752,,Subin sir,,On Branch,28/09/2025,,,
03/10/2025 19:56:02,,Video Editing,Priya Chaphekar,7770025696,"F-1009, Notional Nivas, Citylight",B.C.A,Housewife ,Relatives ,,8880056776,Vesu,,,,,,,Siddharth sir,,On Call,03/10/2025,,,
03/10/2025 10:57:00,,Python Programming,Ananya Inamdar,"9991124120, 9991121893",,Post Graduation,Housewife,Relatives ,,,Citylight,,,,ananyainamdar1797@example.com,,,subin sir,,On Call,03/10/2025,,,
06/10/2025 13:27:53,,SCRATCH PROGRAMMING,Zeel Phadke,9990000092,"G-561, Trial Towers, Pandesara",B.C.A,Business / Job,Friend ,,,Vesu,,,,zeelphadke8607@example.com,,,Subin Sir,,On Call,06/10/2025,,,
11/10/2025 9:21:16,,Core Java Programming ,Pranav Joglekar,7770097263,"A-430, Mocklight Apartments, Jahangirpura",Graduate,Teacher,Indiamart,,8882254818,Citylight,,,,,,,Mansi mam,,On Bot,11/10/2005,,,
17/10/2025 13:32:11,,Python Programming ,Ananya Sahasrabuddhe,8882287976,"F-1046, Proxy Paradise, Ghodhod road",10,Business / Job,,,,Vesu,,,,ananyasahasrabuddhe8878@example.com,,DOB: 11/11/2015,Mansi Mam,,On Branch,17/10/2025,,,
21/10/2025 13:12:10,,Computer Basics,ENQ-8462,6660007615,,,,,,,Vesu,,,,,,,subin sir,,,,,,
23/10/2025 15:52:35,,Computer Basics,Siddhi Khaparde,9991109383,"C-218, Sample Heights, Palanpur",Post Graduation,Teacher,NA,,,Pal,,,,"siddhikhaparde9464@example ,com",7770027182,,Siddharth Sir,,On Bot,23/10/2025,,,
24/10/2025 18:21:21,,,ENQ-8463,6660077908,,,,,,,Vesu,,,,,,,Mansi mam,,,,,,
24/10/2025 15:34:43,,Advanced Graphic Designing (6 mths) ,Dhruv Tembe,8880078664,"E-353, Mocklight Apartments, Parle point",12th,Student,Family,,9990083028,Vesu,,,,,,,Yash k,,,,,,
26/10/2025 9:47:54,,Computer Accounting,Zeel Jamdar,+918882260114,"E-1101, Notional Nivas, Ghodhod road",MBA,Housewife,Relatives ,,9991116952,Pal,,,,,6660067395,,Mansi mam,,On Branch,26/10/2025,,,
26/10/2025 9:29:19,,C & C++,Namra Sahasrabuddhe,8880042374,"F-563, Dummy Darshan, Ghodhod road",9th std,Business / Job,Reference ,,7770039655,Vesu,,,,namrasahasrabuddhe9031@example.com,,,Yash Sir,,,,,,
26/10/2025 16:49:53,,C & C++,Jainam Jamdar,6660098104,"E-1140, Stub Sankul, Piplod",12th completed ,Job,Old student ,,,Vesu,,,,,9991153532,,Yash Kanodia Sir,,On Branch,26/10/2025,,,
27/10/2025 13:49:26,,11th IP,Mahek Ranadive  (refunded trial amount),06660085812,"G-803, Specimen Skyline, Piplod",10,Housewife ,Walk in,,,Citylight,,,,,7770085026,,Trusha mam,,On Bot,27/10/2025,,,
01/11/2025 16:09:55,,Advanced Graphic Designing (6 mths),Tanish Nene,8880025902,"C-1144, Mocklight Apartments, Katargam",11,Business,Walkin,,8880094587,Citylight,,,,,,,Mansi mam,,On Call,01/11/2025,,,
05/11/2025 17:26:17,,Advanced Python Programming (5 Modules),Charvi Kirloskar  (refunded trial amount),8882272895,"B-837, Sandbox Sadan, Citylight",10,Job,Old student ,,,Pal,,,,,,,Yash Sir,,On Call,05/11/2025,,,
