Timestamp,student-id,Student Name,Mobile No (Student),Secondary Contact,Email Address,Date of Birth,Date of Joining,Which Course,course category,Branch,Faculty,Mode,From Where Do You Know About Us ?,1508,,
,38,GARV DANDEKAR,8882261762,,garvdandekar2806@example.com,18/06/1978,29/07/2022,10th std school course,school course,Pal,Subin Sir,online,Banner,,,
,39,Urvi Mahabal,6660081904,8880085548,urvimahabal4862@example.com,,05/08/2022,Data analysis ,Data Analysis,Pal,Subin Sir,Online,Friend ,,,
,40,Vansh Mhatre,9991154120,6660071452,vanshmhatre4396@example.com,,12/08/2022,Video Editing ,Graphic Designing,Vesu,Mansi mam,Online,Walk in,,,
,41,Subin,7770047704,9991139116,vanshganvir981@example com,26/09/1979,13/08/2022,Basic Graphic Designing,Graphic Designing,Pal,Yash k,offline,NA,,,
,42,Ananya Sahasrabuddhe,+8188822879763,,ananyasahasrabuddhe8878@example.com,14/02/2007,24/08/2022,Basic Graphic Designing,Graphic Designing,Citylight,Vansh sir,online,Reference ,,,
,43,Naisha Kelkar,,,naishakelkar6178@example.com,19/11/1999,31/08/2022,Advanced Computer Accounting (module 2 & 3),Accounting,Citylight,Trusha Mam,online,Old Enquiry,,,
,44,Niyati Dhond,8882231745,99900275743,,03/03/2006,01/09/2022,Data Analysis,Data Analysis,Citylight,Subin sir,,Old student ,,,
,45,Vihaan Sahasrabuddhe,8882256692,,vihaansahasrabuddhe9254@example.con,,04/09/2022,Core Java Programming,Programming,Citylight,Mansi mam,offline,Walkin,,,
,46,Devansh Limaye,8880018606,6660071501,devanshlimaye4@example.com,14/03/1986,12/09/2022,POWER BI,Data Analysis,Pal,Yash Kanodia Sir,online,Internet ,,,
,47,Kavya Chandorkar,9991174417,7770081479,kavyachandorkar4934@example.com,21/04/2017,14/09/2022,Advanced Excel (M-1 & M-2),Advanced Excel,Vesu,Mansi mam,Offline,Internet ,,,
,48,Keya Talpade,6660078329,08882245443,keyatalpade877@example.com,04/03/1993,19/09/2022,Scratch Programming ,Programming,Citylight,Mansi mam,Online,Social Media ,,,
,50,Advait Vartak,+916660007615,9991118986,"advaitvartak3638@example ,com",20/12/2017,07/10/2022,power bi,Data Analysis,Vesu,Siddharth sir,Online,Relatives ,,,
,51,Sanya Bhide,7770006238,,"sanyabhide6213@example ,com",,14/10/2022,Digital Marketing (6 months),Digital Marketing,pal,Vansh sir,offline,Old students,,,
,52,Ananya Nadkarni,8880069965,9990062901---8882210636,ananyanadkarni913@example.com,13/07/1982,17/10/2022,Diploma in Front End Development,Front-end Development,Pal,Siddharth sir,offline,NA,,,
,53,Avni Godbole,"8882230421, 9990026250",6660004769,avnigodbole677@example.com,,20/10/2022,Full Stack Development module 2,Web Designing & Development,,Mansi mam,,Banner,,,
,54,Riddhi Rege,9990067249,,,25/08/2004,22/10/2022,Kids Course,Basic,Citylight,Trusha Mam,Offline,Relatives ,,,
,55,Pooja Sathaye,9990065503,,poojasathaye1981@example.com,20/01/1983,24/10/2022,Digital Marketing & SEO,Digital Marketing,Pal,Yash k,offline,Internet ,,,
,56,Tanvi Velankar,8882261029,8880025508,NA,,24/10/2022,Advanced Python Programming (5 Modules),Programming,Pal,Yash Sir,offline,Social Media ,,,
,57,Siddhi Khaparde,,,"siddhikhaparde9464@example ,com",23/04/2017,11/11/2022,Power BI,Data Analysis,Vesu,Vansh Sir,,NA,,,
,58,Rudra Ahluwalia,8880085013,,rudraahluwalia8990@example.com,24/05/1980,12/11/2022,Basic Graphic Designing,Graphic Designing,Vesu,Yash sir,Online,Old student ,,,
,59,Samarth Gokhale,88800260970,,,04/05/1986,16/11/2022,Advanced Certificate in Data Analytics & Data Science,advanced certificate course,Vesu,Mansi Mam,,,,,
,60,Pooja Tembe,8880064824,6660055259,poojatembe6868@example.com,12/05/1987,24/11/2022,basic computer accounting,Accounting,Vesu,Siddharth sir,online,,,,
,61,Sanya Ranadive,9990012540,,,,27/11/2022,Full Stack Development,Web Designing & Development,Vesu,Siddharth sir,online,Banner,,,
,62,Keya Mahabal,9990046532,8882259936,keyamahabal3877@example.com,18/06/2007,01/12/2022,Core Python Programming,Programming,Pal,Mansi mam,online,Friends,,,
,63,Pooja Inamdar,7770076925,7770018090,,12/06/1993,02/12/2022,diploma in front end development,Front-end Development,Vesu,Mansi Mam,Offline,Indiamart,,,
,64,Radhika Bapat,6660077908,9991154560,radhikabapat6209@example.com,01/02/1992,04/12/2022,Kids Course,Basic,citylight,Vansh sir,Offline,Reference ,,,
,65,Dhruv Yardi,7770010779,,,23/02/2006,11/12/2022,Computer Accounting,Accounting,Vesu,Vansh sir,online,Walkin,,,
,66,Shaurya Wadekar,8880004714,6660096144,shauryawadekar7337@example.com,24/09/1995,14/12/2022,Adobe Photoshop,Graphic Designing,Vesu,Mansi Mam,,Walk in,,,
,67,Samarth Gokhale,8880026097,9991169660,,04/05/0086,17/12/2022,Advanced Python Programming (5 Modules),Programming,Pal,Mansi Mam,,Banner,,,
,68,Isha Vartak,9990019658,,ishavartak1247@example.com,,18/12/2022,Advanced Certificate in Python Development & Generative AI,advanced certificate course,Citylight,SUBIN SIR,online,Walkin,,,
,69,VEDANT RANADIVE,8880098337,7770048552,vedantranadive854@example.com,,19/12/2022,Digital Marketing & SEO (m-1),Digital Marketing,Vesu,Trusha,online,Social media,,,
,70,Dhruv Tembe,9991148965,7770091694,,13/10/1993,27/12/2022,Computer Accounting,Accounting,Citylight,Subin Sir,online,Friend ,,,
,71,dhruv tembe,+918880078664,9990083028,,21/09/1988,05/01/2023,Business Analytics,Data Analysis,Vesu,Yash k,Offline,Family,,,
,72,Oak Riddhi,9991193043,,riddhioak3778@example.com,02/05/1989,12/01/2023,Adobe Photoshop,Graphic Designing,Vesu,Mansi Mam,Offline,old student,,,
,73,Tirth Ganvir,8882204991,7770015306,tirthganvir2083@example.com,06/03/1988,14/01/2023,Advanced Python Programming (5 Modules),Programming,Pal,Trusha Mam,offline,Google,,,
,74,Arnav Bapat ,9991120923,,arnavbapat1288@example.con,05/04/1982,17/01/2023,Basic Graphic Designing,Graphic Designing,Citylight,Trusha mam,Offline,,,,
,75,Vedant Tembe ,7770091034,,,09/01/1991,19/01/2023,Kids Course,Basic,Vesu,Yash Kanodia Sir,,old student,,,
,76,Mihir Bapat ,8880072304,,mihirbapat3403@example.com,17/05/1998,20/01/2023,graphic designing,Graphic Designing,Citylight,Yash sir,Offline,Old student ,,,
,77,Darsh Chaphekar,+916660089252,6660003983,,16/08/1996,25/01/2023,Power BI,Data Analysis,Pal,Siddharth sir,offline,Hoarding ,,,
,78,Zeel Jamdar,8882260114,999111695,,17/06/1972,29/01/2023,Core Python Programming,Programming,Vesu,SUBIN SIR,Online,Old students,,,
,79,Riddhi Chandorkar,9990096049,,riddhichandorkar6067@example com,,01/02/2023,11th IP,school course,Pal,Trusha,online,Banner,,,
,80,Tanvi Mhatre,8880092221,888002036,tanvimhatre2485@example.com,22/11/1989,02/02/2023,11TH IP,school course,citylight,Mansi mam,,NA,,,
,81,Darsh Ganvir,7770016401,8882230706,darshganvir1173@example.com,02/02/1994,02/02/2023,Diploma in Front End Development,Front-end Development,Pal,Vansh Sir,online,Relatives ,,,
,82,Tanish Karnik,6660017906,6660068055,,,07/02/2023,Business Analytics,Data Analysis,Vesu,SUBIN SIR,Online,Walkin,,,
,83,Lakshya Gokhale,9991158546,,lakshyagokhale8893@example.com,24/08/1994,08/02/2023,C Programming (with zero module),Programming,Vesu,Siddharth Sir,Online,,,,
,84,Charvi Limaye,"9991138721, 8880021039",88800282450,,,15/02/2023,Digital Marketing (6 months),Digital Marketing,Pal,Vansh Sir,Online,Google,,,
,85,NAMRA SAHASRABUDDHE,8880042374,7770039655,namrasahasrabuddhe9031@example.com,04/01/2010,15/02/2023,C Programming (6 months),Programming,Vesu,Mansi Mam,Online,Family,,,
,86,Manan Inamdar ,9990076248,,,13/02/1996,17/02/2023,Advance Excel,Advanced Excel,Vesu,Yash Kanodia Sir,online,Friend ,,,
,87,Kavya Dandekar ,7770088314,,kavyadandekar7970@example.com,26/01/1992,18/02/2023,Computer Basics,Basic,Pal,Siddharth Sir,online,google,,,
,88,Sathaye Ishan,9991141116,7770000460,ishansathaye4697@example.com,15/09/2010,19/02/2023,Canva,Graphic Designing,Citylight,Mansi mam,,Friend ,,,
,89,Jainam Bhide,6660047369,,jainambhide3680@example.com,25/02/1986,24/02/2023,Computer Basics,Basic,pal,Mansi mam,,google,,,
,90,Keya Kelkar ,7770072744,8880047855,"keyakelkar1538@example ,com",01/03/2007,27/02/2023,10th std school course,school course,Pal,Yash Sir,Online,Old Enquiry,,,
,91,Riddhi Inamdar,7770061689,9991157160,,26/04/1984,06/03/2023,Basic Computer Accounting,Accounting,Pal,SUBIN SIR,online,Old Enquiry,,,
,92,keya mahabal,9990046532,8882259936,keyamahabal3877@example.com,,12/03/2023,Digital Marketing & SEO,Digital Marketing,Pal,Trusha Mam,online,Social media,,,
,93,Tanish Joglekar ,,8880043904,tanishjoglekar3356@example.com,09/12/1980,15/03/2023,Computer Accounting,Accounting,Citylight,Yash Kanodia Sir,offline,Indiamart,,,
,94,Riddhi Phadke,8882298393,+918880051477,,18/04/2007,15/03/2023,Business Analytics (M-2 & M-3),Data Analysis,Pal,Siddharth sir,,old student,,,
,95,Bhavya Paranjape,8882209985,9990078411,bhavyaparanjape8540@example.com,18/11/1974,21/03/2023,Advanced Graphic Designing (6 mths) (6 months),Graphic Designing,Vesu,Mansi mam,,Walkin,,,
,96,Devansh Limaye,8880018606,6660071501,devanshlimaye4@example.com,14/03/1986,27/03/2023,Kids Course,Basic,Pal,Siddharth sir,Online,Old student ,,,
,97,Yashvi Lele,8882278874,,yashvilele4117@example.com,,28/03/2023,Advanced Python Programming (5 Modules) (M-2 & M-3),Programming,Pal,Yash k,online,NA,,,
,98,Tanvi Mhatre,8880092221,8880020368,tanvimhatre2485@example.com,22/11/0089,29/03/2023,Digital Marketing ,Digital Marketing,Vesu,Mansi Mam,Online,NA,,,
,99,Mahek Ranadive,6660085812,,,13/05/1991,07/04/2023,Business Analytics,Data Analysis,Vesu,Mansi Mam,offline,Walkin,,,
,100,Isha Vartak,9990019658,,ishavartak1247@example.com,09/04/1998,12/04/2023,Video Editing,Graphic Designing,Vesu,Subin Sir,Online,Indiamart,,,
,101,Advait Paranjape,8882203639,8882220227,advaitparanjape9310@example.com,22/06/2006,28/04/2023,Computer Basics,Basic,Citylight,SUBIN SIR,,Old student ,,,
,102,Jiya Sahasrabuddhe ,66600076541,,jiyasahasrabuddhe2722@example.com,,29/04/2023,Basic Graphic Designing (m-1),Graphic Designing,Vesu,SUBIN SIR,,Old students,,,
,104,Raghav Nadkarni,8880027969,+8166600342484,raghavnadkarni5272@example.com,,30/04/2023,Basic Graphic Designing,Graphic Designing,Pal,Siddharth Sir,,Social media,,,
,105,Tanish Lele,7770005129,8880031866,tanishlele2407@example.com,07/09/2006,01/05/2023,Advanced Certificate in Data Analytics & Data Science,advanced certificate course,Vesu,Vansh Sir,offline,Social media,,,
,106,Aarav Jamdar,9991182813,9991110841,,,04/05/2023,Advanced Python Programming (5 Modules),Programming,Pal,Trusha mam,offline,Friends,,,
,107,dhruv tembe,9991148965,77700916942,,,10/05/2023,Advance Excel ,Advanced Excel,Vesu,Siddharth Sir,offline,Google,,,
,108,Namra Yardi,6660023134,9991119595,,04/01/1994,18/05/2023,Advanced Python Programming (5 Modules),Programming,Citylight,SUBIN SIR,Online,Friend ,,,
,109,Vedant Chandorkar ,8882221840,9990000411,vedantchandorkar2883@example.com,03/01/2008,23/05/2023,Business Analytics module 2,Data Analysis,Citylight,Siddharth sir,Offline,Indiamart,,,
,110,Jiya Sahasrabuddhe,6660007654,,jiyasahasrabuddhe2722@example.com,,25/05/2023,Advanced Certificate in Data Analytics & Data Science,advanced certificate course,Vesu,Siddharth sir,Offline,Banner,,,
,111,Dhruv Tembe,8880078664,9990083028,,21/09/1988,03/06/2023,Diploma in Front End Development (6 months),Front-end Development,Vesu,Mansi mam,Offline,,,,
,112,Keya Kelkar,7770072744,08880047855,"keyakelkar1538@example ,com",01/03/2007,04/06/2023,Python OOP,Programming,Citylight,SUBIN SIR,Offline,Old student ,,,
,113,jainam bhide ,6660047369,,jainambhide3680@example.com,25/02/1986,07/06/2023,11th IP (M-2 & M-3),school course,Vesu,Mansi mam,Online,Friend ,,,
,114,Charvi Kirloskar,8882272895,,,24/07/1999,08/06/2023,Scratch Programming (m-1),Programming,Citylight,Trusha,Offline,Hoarding ,,,
,115,Hetvi Gokhale,8882227279,999112017,hetvigokhale2273@example.com,09/03/2016,17/06/2023,Core Python Programming,Programming,Pal,Mansi Mam,online,Relatives ,,,
,116,Aditi Godbole,9990085118,8880052735,NA,,18/06/2023,Whole Python Programming,Programming,Vesu,Vansh sir,online,Relatives ,,,
,117,Arnav Bapat,9991120923,,arnavbapat1288@example.con,05/04/1982,19/06/2023,Power BI (module 2 & 3),Data Analysis,Citylight,Mansi mam,,Hoarding ,,,
,118,Niyati Barhate,9990062501---7770072140,8880047416,niyatibarhate2276@example.com,06/11/1998,20/06/2023,Python OOP,Programming,Citylight,subin sir,,,,,
,119,Niyati Barhate,09990062501,8880047416,niyatibarhate2276@example.com,06/11/1998,23/06/2023,Graphic Designing,Graphic Designing,Citylight,subin sir,Offline,Relatives ,,,
,120,Rudra Nene,9991159261,9991110624,rudranene7224@example.com,,24/06/2023,Advanced Certificate in Data Analytics & Data Science,advanced certificate course,Citylight,Mansi mam,Offline,Hoarding ,,,
,121,Priya Ranadive,8882238616,9991188583,,19/06/1987,03/07/2023,C & C++,Programming,Citylight,subin sir,,Google,,,
,122,Anish Deolekar,8880084127,,anishdeolekar3404@example.com,hand written,17/07/2023,Data Analysis,Data Analysis,Pal,Subin Sir,Online,Social Media ,,,
,123,Jiya Kelkar (Admission Cancelled) ,8880051744,,,06/11/2004,24/07/2023,Adobe Photoshop,Graphic Designing,Citylight,Mansi mam,offline,Friend ,,,
,124,Niyati Dhond,8882231745---7770071122,9990027574,,03/03/2006,27/07/2023,Business Analytics ,Data Analysis,Citylight,Subin sir,offline,Google,,,
,125,Vedant Wagle,9990014805,,vedantwagle8169@example.com,,28/07/2023,Python OOP,Programming,Pal,Trusha,online,Social Media ,,,
,126,Rachit Wadekar,8880018276,,rachitwadekar6463@example.com,05/05/1996,31/07/2023,Advance Excel,Advanced Excel,Pal,vansh sir,,Google,,,
,127,Priya Ranadive,8882238616,09991188583,,19/06/1987,02/08/2023,Graphic Designing,Graphic Designing,Vesu,Trusha mam,Offline,old student,,,
,128,Aarav Ranadive,9990091911,,aaravranadive8591@example.com,12/09/1980,06/08/2023,12th Computer Science ,school course,Vesu,Siddharth sir,online,Old Enquiry,,,
,129,Charvi Chandorkar,77700837448,8880008648,,09/03/1998,12/08/2023,Full Stack Development,Web Designing & Development,Pal,Trusha mam,online,NA,,,
,130,Janvi Lele,7770081413,,janvilele4122@example.com,08/09/1980,20/08/2023,Computer Basics,Basic,Citylight,Siddharth sir,Online,Family,,,
,131,Sachi Jamdar,8882290782,+8188800111468,,12/08/1976,20/08/2023,Scratch Programming,Programming,Citylight,Yash Sir,online,Old students,,,
,132,Khushi Joglekar,+8199911817406,9991160519,,,26/08/2023,Combo Course (Computer Basics & Advanced Excel with Power BI),Combo Course,Vesu,Subin Sir,Offline,Walk in,,,
,133,Rachit Wadekar,8880018276,,rachitwadekar6463@example.com,05/05/1996,26/08/2023,Advanced Graphic Designing (6 mths),Graphic Designing,Pal,vansh sir,Online,Banner,,,
,134,Devansh Bapat ,7770080872,,,13/12/1997,27/08/2023,Advance Excel,Advanced Excel,Citylight,Siddharth sir,Online,Old students,,,
,135,Mihir Nadkarni,8882214637,,mihirnadkarni8624@example com,26/08/2000,30/08/2023,Advanced Graphic Designing (6 mths),Graphic Designing,Vesu,Mansi mam,offline,old student,,,
,136,Tirth Ganvir,8882204991,7770015306,tirthganvir2083@example.com,06/03/1968,31/08/2023,Diploma in Front End Development,Front-end Development,Citylight,Subin Sir,online,Old Enquiry,,,
,137,Tanvi Karnik ,8882244703,8880099735,,09/03/2001,09/09/2023,Diploma in Front End Development,Front-end Development,Vesu,Vansh Sir,,Internet ,,,
,138,Dhruv Sathaye,6660028515,8882211370,,02/10/1999,21/09/2023,Diploma in Web Development,Web Designing & Development,,Yash sir,offline,NA,,,
,139,Anish Bhide,8880010942,6660067103,anishbhide7942@example.com,,25/09/2023,Diploma in Web Development,Web Designing & Development,Citylight,Trusha Mam,Offline,NA,,,
,140,siddhi khaparde,9991109383,,"siddhikhaparde9464@example ,com",23/04/2017,26/09/2023,Core Python Programming,Programming,Pal,Trusha mam,offline,NA,,,
,141,KRISH GOKHALE,8882238211,9991136878,krishgokhale2532@example.com,,03/10/2023,Core Python Programming,Programming,NA,Subin Sir,Online,Google,,,
,142,Shaurya Kelkar,8882264798,8882228624---6660097652,,-,04/10/2023,11th IP,school course,Vesu,Yash Sir,,Indiamart,,,
,143,Namra Sahasrabuddhe,8880042374,7770039655,namrasahasrabuddhe9031@example.com,04/01/2010,09/10/2023,Advance Excel,Advanced Excel,Pal,Yash Kanodia Sir,,Google,,,
,144,Urvi Godbole,7770082876,,urvigodbole5431@example.com,,11/10/2023,Advanced Certificate in Data Analytics & Data Science,advanced certificate course,Citylight,Siddharth sir,Online,Relatives ,,,
,145,Krupa Velankar,+155501006,,,,12/10/2023,Advanced Python Programming (5 Modules) (6 months),Programming,Vesu,Mansi Mam,online,Hoarding ,,,
,146,bhavya paranjape,8882209985,9990078411,bhavyaparanjape8540@example.com,,15/10/2023,Digital Marketing & SEO,Digital Marketing,Vesu,Yash k,Offline,Friend ,,,
,147,Dhruv Godbole,8880032075,,dhruvgodbole3542@example.com,,16/10/2023,Computer Basics & Scratch Programming,Basic,Pal,Siddharth Sir,offline,Family,,,
,148,DHRUV SATHAYE,8880077844,,,17/02/1988,17/10/2023,Advanced Computer Accounting (Module 2),Accounting,Citylight,Siddharth Sir,online,Family,,,
,149,Isha Khaparde,6660081069,7770068415,ishakhaparde8885@example.com,27/02/2001,20/10/2023,Data Analysis,Data Analysis,Vesu,Siddharth sir,Online,Relatives ,,,
,150,Paranjape Sachi,7770061170,8882222077,sachiparanjape7654@example.com,25/12/1985,21/10/2023,Scratch Programming,Programming,Pal,Yash k,,Relatives ,,,
,151,Riddhi Inamdar,7770061689,9991157160,,26/04/1984,25/10/2023,Digital Marketing & SEO,Digital Marketing,NA,Yash Kanodia Sir,Offline,Indiamart,,,
,152,Tirth Tembe,777003023,+155501032,,16/01/2003,26/10/2023,Digital Marketing,Digital Marketing,Vesu,Siddharth Sir,Online,Social media,,,
,153,Ananya Chandorkar,7770096943,+918880079522,,16/02/2015,28/10/2023,Computer Accounting,Accounting,Citylight,Siddharth sir,online,Banner,,,
,154,Pooja Inamdar,77700769250,7770018090,,,02/11/2023,Power BI,Data Analysis,Pal,subin sir,online,Social media,,,
,155,Ananya Chandorkar,7770096943,8880079522,,,08/11/2023,Advanced Python Programming (5 Modules),Programming,Citylight,Yash Kanodia Sir,Offline,Walkin,,,
,156,Subin,7770047704,9991139116,vanshganvir981@example com,26/09/1979,09/11/2023,Combo Course (Computer Basics & Advanced Excel with Power BI),Combo Course,Citylight,Mansi Mam,online,Friends,,,
,157,Vihaan Wagle,6660005778,8882214364,vihaanwagle6142@example.com,,12/11/2023,Advance Excel,Advanced Excel,Pal,Siddharth sir,Offline,Reference ,,,
,158,POOJA TEMBE ,,6660055259,poojatembe6868@example.com,12/05/1987,16/11/2023,UI & UX development,UI UX Designing,Citylight,Yash sir,Online,Reference ,,,
,160,Jainam Deolekar ,9991112447,9991169713,,,17/11/2023,12th Computer Science (with zero module),school course,Pal,Trusha,online,NA,,,
,161,Zeel Phadke,"9990000092, 9991155281",,zeelphadke8607@example.com,,17/11/2023,Computer Accounting,Accounting,Vesu,Siddharth Sir,,google,,,
,162,SHAURYA UBHAYKAR,9990019103,,,19/05/2004,18/11/2023,Computer Accounting,Accounting,Pal,Siddharth Sir,online,old student,,,
,163,Charvi Limaye,9991138721,8880028245,,03/09/2017,20/11/2023,Social Media Marketing (DM-2) (m-1),Digital Marketing,Vesu,Yash Sir,online,google,,,
,164,Vihaan Wagle,6660005778---9990030136,8882214364,vihaanwagle6142@example.com,,23/11/2023,COMPUTER BASICS,Basic,Pal,Trusha mam,,Google,,,
,165,Lakshya Gokhale ,9991158546,,lakshyagokhale8893@example.com,24/08/1994,25/11/2023,Computer Basics & Scratch Programming,Basic,Citylight,Subin sir,offline,Friends,,,
,166,Devansh Wadekar,6660086995,7770010726,,09/03/1974,29/11/2023,Full Stack Development,Web Designing & Development,Pal,Subin sir,Online,old student,,,
,167,Priya Chaphekar,7770025696,8880056776,,01/11/1999,30/11/2023,Combo Course (Computer Basics & Advanced Excel with Power BI),Combo Course,NA,Mansi Mam,online,Friend ,,,
,168,Krupa Ganvir,7770091253,9991158851,NA,28/11/1980,30/11/2023,UI & UX development ,UI UX Designing,NA,Vansh Sir,online,Old students,,,
,169,Urvi Godbole,7770082876,,urvigodbole5431@example.com,17/04/2009,30/11/2023,Social Media Marketing (DM-2),Digital Marketing,NA,Siddharth sir,online,Old students,,,
,170,Dhruv Sathaye,8880077844,,,17/02/1988,02/12/2023,Diploma in Front End Development,Front-end Development,Vesu,Vansh Sir,Offline,NA,,,
