Timestamp,Name for Google Contacts,Which Course do you want to Learn ?,Student Name,Mobile No (Student),Mobile No (Father / Guardian),Student Address,Education Level,From Where Do You Know About Us ?,Presently What Are you Doing ?,Preferred Branch ,Preferred Days,Preferred Batch Time,Faculty,Receipt ID,Email Address,Date of Birth,Date of Admission,Mobile No (Mother / Guardian),Any Other Notes,Education Details,Student Photo,Admission Form Photo,Residential Area,Pincode,Coupons Given?
12/06/2024 17:44:26,Keya Kelkar-NA-Advanced Graphic Designing (6 mths),Advanced Graphic Designing (6 mths),Keya Kelkar,,8880047855,"G-389, Mocklight Apartments, Vesu",MBA,Old Enquiry,NA,NA,"Monday, Wednesday, Friday, Tuesday, Thursday, Saturday",10:00 To 11:00,Mansi Mam,204,"keyakelkar1538@example ,com",01/03/2007,12/06/2024,08880072410,,,,https://drive.google.com/file/d/1xFvQgj9j2tGt-qzBAoHJ9wVyNmoYrwMl/view?usp=drive_link,Pal,394210,
15/06/2024 20:52:57,Shaurya Wadekar-Vesu-Core Python Programming,Core Python Programming,Shaurya Wadekar,8880004714,6660096144,"A-418, Demo Enclave, Jahangirpura",10,Walkin,Business / Job,Vesu,"Monday, Wednesday, Friday, Tuesday, Thursday, Saturday",11:00 To 12:00,Vansh Sir,209,shauryawadekar7337@example.com,,13/06/2024,,,,,https://drive.google.com/open?id=1KEtJGcu0vye15WcLQ-peGDQdsNcwiopT,Katargam,395005,
17/06/2024 18:26:56,Devansh Limaye-Pal-Combo Course (Computer Basics & Advanced Excel with Power BI),Combo Course (Computer Basics & Advanced Excel with Power BI),Devansh Limaye,8880018606,6660071501,"G-384, Stub Sankul, Citylight",Graduation ,Social media,Student,Pal,"Monday, Wednesday, Friday",03:00 To 04:00,vansh sir,382,devanshlimaye4@example.com,14/03/1986,16/06/2024,,,,https://drive.google.com/file/d/11nkdpAYnuEmPEn84NnJuQPKrLD8Uh02q/view?usp=drivesdk,https://drive.google.com/file/d/13c6SeIBzLQlM-t_XbIdJwF3ksYERG9Hn/view?usp=drive_link,Udhna,395005,
16/06/2024 18:28:25,Anish Bhide-Pal-Advanced Excel (M-1 & M-2),Advanced Excel (M-1 & M-2),anish bhide,8880010942,6660067103,"B-958, Stub Sankul, Adajan",NA,Internet ,NA,Pal,All Days,05:00 To 06:00,Yash Sir,384,anishbhide7942@example.com,11/10/1993,16/06/2024,9991198910,,,https://drive.google.com/file/d/1SKJUDoIOK_MWWoxPPNr0ChLWswlSPPTq/view?usp=drivesdk,,Bhatar,39500,
18/06/2024 14:08:14,Shreya Kelkar-Pal-Basic Computer Accounting module 2,Basic Computer Accounting module 2,Kelkar Shreya,9991127927,8882250474,"D-826, Example Estate, Pandesara",Graduate,NA,Job,Pal,All Days,07:00 To 08:00,Subin Sir,385,,,18/06/2024,"9991118011, 8882283705",,,,https://drive.google.com/open?id=16L3diJK3-38isS_3h9TJpT8Ja7Hg5ZYL,,0194520,
19/06/2024 11:14:04,Dhruv Tembe-Citylight-Diploma in Front End Development,Diploma in Front End Development,Dhruv Tembe,9991148965,7770091694,"G-374, Mocklight Apartments, Piplod",,Internet ,Freelance,Citylight,All Days,03:00 To 04:00,Trusha mam,155,,13/10/1993,19/06/2024,,,,,https://drive.google.com/file/d/1EMSubQox8j1nUAQn49stGdB4k6u-oOEa/view?usp=drive_link,,,
20/06/2024 9:23:37,Dhruv Tembe-Citylight-Social Media Marketing (DM-2),Social Media Marketing (DM-2),Dhruv Tembe,8880078664,9990083028,"E-353, Mocklight Apartments, Parle point",9th std,Social Media ,Student ,Citylight,All Days,04:00 To 05:00,Yash Kanodia Sir,158,,,19/06/2024,,,,,https://drive.google.com/file/d/1Xt5wNuetlrsWMok7x7iHLudYuz8eSk4W/view?usp=drivesdk,Pal,305007,
28/06/2024 12:00:31,Namra Sahasrabuddhe-Pal-Basic Computer Accounting,Basic Computer Accounting,Namra Sahasrabuddhe,8880042374,7770039655,"F-563, Dummy Darshan, Ghodhod road",10,Social Media ,Other ,Pal,"Monday, Wednesday, Friday, Tuesday, Thursday, Saturday",04:00 To 05:00,Vansh sir,386 & 387,namrasahasrabuddhe9031@example.com,,26/06/2024,,,,https://drive.google.com/file/d/1sGLm-DQy8ACtRV4gKsZ4kAuaFy-mZ3dW/view?usp=drivesdk,https://drive.google.com/open?id=18Lz7q0xyNhF6T4IFHPmxZavjDyK2Q-Ni,Piplod,395005,
28/06/2024 19:46:10,Tirth Ganvir-Pal-Social Media Marketing (DM-2),Social Media Marketing (DM-2),Tirth Ganvir,8882204991,7770015306,"G-526, Stub Sankul, Katargam",MBA,Relatives ,Freelance,Pal,"Monday, Wednesday, Friday, Tuesday, Thursday, Saturday",04:00 To 05:00,Yash Sir,388,tirthganvir2083@example.com,06/03/1988,28/06/2024,,,,,https://drive.google.com/file/d/1Tw6YKx1qDJXDaYyFGePpFt8Cet-ZQEva/view?usp=drivesdk,New citylight,395009,
30/06/2024 20:39:57,Arnav Bapat-Citylight-Video Editing,Video Editing,Arnav Bapat,9991120923,,"A-121, Notional Nivas, Vesu",9th std,Banner,Housewife,Citylight,All Days,01:00 To 02:00,Subin sir,160,arnavbapat1288@example.con,05/04/1982,30/06/2024,,,,https://drive.google.com/file/d/1iJFqeEeaxd0CZQWqjAHZS8RFmxR9Nlvf/view?usp=drive_link,https://drive.google.com/file/d/1Fkv8RTH128-ZEaYqolI2roeqVPTc6_Af/view?usp=drive_link,Citylight,395005,
09/07/2024 18:36:54,Vedant Tembe-Pal-12th Computer Science,12th Computer Science,Vedant Tembe,7770091034,,"D-1156, Notional Nivas, Pandesara",,Hoarding ,Other ,Pal,"Tuesday, Thursday, Saturday",07:00 To 08:00,Trusha Mam,390,,09/01/1991,08/07/2024,,,,https://drive.google.com/file/d/1vb7-LFpZsc09-TCOyFeSNaG0z115xV_Z/view?usp=drive_link,,Pandesara,395001,
08/07/2024 10:23:33,Mihir Bapat-Citylight-Social Media Marketing (DM-2),Social Media Marketing (DM-2),Mihir Bapat ,,,"A-772, Demo Enclave, Udhna",,Relatives ,NA,Citylight,"Monday, Wednesday, Friday",05:00 To 06:00,subin sir,163-1,mihirbapat3403@example.com,17/05/1998,08/07/2024,,,,,https://drive.google.com/file/d/15dNQw2MxikSl0WfyQkIz76zQLMikieiY/view?usp=drive_link,Katargam,,
09/07/2024 13:12:27,Darsh Chaphekar-Vesu-advanced computer accounting,advanced computer accounting,Darsh Chaphekar,6660089252,+916660003983,"A-446, Trial Towers, Varachha",12,NA,Housewife ,Vesu,"Tuesday, Thursday, Saturday",03:00 To 04:00,vansh sir,211,,16/08/1996,09/07/2024,,,,https://drive.google.com/file/d/1Z3bt5dgDsjy_WPV0AjiG0CDSa54X1XpU/view?usp=drive_link,,New citylight,395005,
11/07/2024 12:54:23,Zeel Jamdar-Citylight-Digital Marketing,Digital Marketing,ZEEL JAMDAR,8882260114,+919991116952,"E-1101, Notional Nivas, Ghodhod road",MBA,Family,Student ,Citylight,"Monday, Wednesday, Friday",04:00 To 05:00,Trusha,164,,17/06/1972,09/07/2024,6660067395,,,https://drive.google.com/open?id=1_ncTSFqwqBr7VCSDTJIOKjQAMflqLQU4,https://drive.google.com/open?id=1toZjZhv4jT3YrkjezEBfGFI0MbR0eMEW,Pandesara,305007,
10/07/2024 12:04:58,Jiya Dhond-Citylight-Video Editing,Video Editing,Jiya Dhond,9991154464,8880045977,"G-591, Sample Heights, Umra",BBA,Banner,Other ,Citylight,All Days,07:00 To 08:00,Trusha Mam,165,jiyadhond9116@example.com,,10/07/2024,,,,,https://drive.google.com/file/d/1qYdpUGPrqRuK7WDVuFVw-7uQfkYCm_4i/view?usp=drivesdk,Pandesara,305007,
14/07/2024 11:10:01,Tanvi Mhatre-Citylight-Advanced Excel (M-1 & M-2),Advanced Excel (M-1 & M-2),Tanvi Mhatre,888009222,8880020368,"D-478, Synthetic Square, Rander",12th completed ,Walk in,Housewife,Citylight,"Tuesday, Thursday, Saturday",04:00 To 05:00,SUBIN SIR,166,tanvimhatre2485@example.com,22/11/1989,14/07/2024,,,,https://drive.google.com/file/d/1dnkSCXph5A8c_mohNVIHutnpcQu3FvVK/view?usp=drive_link,https://drive.google.com/file/d/1a_Sw6fC4gFIqPK7RsBUPf3KlPYq0iJeg/view?usp=drivesdk,Magdalla,395007,
19/07/2024 11:20:02,Samarth Gokhale-Citylight-Social Media Marketing (DM-2),Social Media Marketing (DM-2),Samarth Gokhale,8880026097,9991169660,"B-1182, Proxy Paradise, Magdalla",9,Old Enquiry,,Citylight,"Tuesday, Thursday, Saturday",11:00 To 12:00,Siddharth sir,167,,04/05/1986,19/07/2024,,,,,,Adajan,0194520,
22/07/2024 16:58:58,Tanish Karnik-Pal-Advanced Computer Accounting,Advanced Computer Accounting,Tanish Karnik (Admission Cancelled),6660017906,6660068055,"F-167, Sandbox Sadan, Citylight",9th std,Walkin,student,Pal,"Monday, Wednesday, Friday","03:00 To 04:00, 01:00 To 02:00",vansh sir,392,,10/12/2016,21/07/2024,8882234871,,,,,Pandesara,395017,
23/07/2024 12:40:46,Lakshya Gokhale-Citylight-Data Analysis,Data Analysis,Lakshya Gokhale,9991158546,,"G-496, Stub Sankul, Umra",Na,Walk in,Student ,Citylight,"Monday, Wednesday, Friday",10:00 To 11:00,Siddharth Sir,168,lakshyagokhale8893@example.com,,22/07/2024,,,,https://drive.google.com/file/d/1HIIHyimdd7hanJWYSO0pzhNVeGQ9Id3b/view?usp=drivesdk,,,394510,
28/07/2024 9:07:40,Charvi Limaye-Citylight-Adobe Photoshop,Adobe Photoshop,Charvi Limaye,9991138721,8880028245,"G-369, Fixture Villa, New citylight",,Social media,Other ,Citylight,All Days,01:00 To 02:00,Trusha Mam,212,,03/09/2017,28/07/2024,,,,,,Katargam,394210,
04/08/2024 10:33:04,Namra Sahasrabuddhe-Vesu-Full Stack Development,Full Stack Development,Namra Sahasrabuddhe,8880042374,7770039655,"F-563, Dummy Darshan, Ghodhod road",,Walk in,Housewife ,Vesu,"Monday, Wednesday, Friday, Tuesday, Thursday, Saturday",11:00 To 12:00,Siddharth Sir,213,namrasahasrabuddhe9031@example.com,04/01/2010,04/08/2024,,,,,https://drive.google.com/file/d/1YhgiCKEH2IkYxJlQD-fn3OVzVoWRtBOe/view?usp=drivesdk,Piplod,395005,
08/08/2024 13:29:53,Manan Inamdar-Vesu-Web Designing,Web Designing,Manan Inamdar,+8199900762480,,"F-928, Fixture Villa, Piplod",9,Reference ,student,Vesu,"Tuesday, Thursday, Saturday",12:00 To 01:00,Trusha,215,,13/02/1996,08/08/2024,8880051777,,,https://drive.google.com/file/d/1LH0_hfeWwu4mocrFwdmk_6GOEXktUigB/view?usp=drive_link,,Citylight,0194520,
09/08/2024 16:01:48,Priya Kelkar-Pal-diploma in front end development,diploma in front end development,Priya Kelkar,6660097814,9990050028,"D-619, Proxy Paradise, Rander",BBA,google,NA,Pal,All Days,05:00 To 06:00,Mansi Mam,217,priyakelkar545@example.com,11/12/1990,09/08/2024,,Fastrack,,,,Citylight,305007,
14/08/2024 18:23:07,Ishan Sathaye-Citylight-Core Python Programming,Core Python Programming,Ishan Sathaye (admission cancelled all refunded),9991141116,7770000460,,10th completed,Internet ,Business / Job,Citylight,All Days,06:00 To 07:00,Trusha mam,173,ishansathaye4697@example.com,,13/08/2024,,,,https://drive.google.com/file/d/1g5R0BDlkkFrMWj0QW3z8lGuseVdCqScE/view?usp=drivesdk,https://drive.google.com/file/d/17dnIxP7k_4z4cae6GKmWV8CkOMTAH9bj/view?usp=drive_link,Rander,395005,
19/08/2024 9:04:06,Jainam Bhide-Citylight-Computer Basics & Scratch Programming (6 months),Computer Basics & Scratch Programming (6 months),JAINAM BHIDE ,6660047369,,"G-846, Example Estate, Pal",10th completed,old student,Job,Citylight,"Monday, Wednesday, Friday",01:00 To 02:00,Trusha mam,174,jainambhide3680@example.com,25/02/1986,19/08/2024,+919990049094,,,,,Udhna,395006,
23/08/2024 9:58:28,Advait Vartak-Pal-Web Designing,Web Designing,Advait Vartak,6660007615,9991118986,,B.C.A,Hoarding ,Freelance,Pal,"Tuesday, Thursday, Saturday",05:00 To 06:00,Trusha mam,395,"advaitvartak3638@example ,com",20/12/2017,21/08/2024,,,,https://drive.google.com/file/d/1Ctqpldd568kJNb3ryIx_MZ9i5IAY6_sa/view?usp=drivesdk,,Adajan,395009,
29/08/2024 17:38:56,Manan Inamdar-Pal-Advanced Certificate in Python Development & Generative AI,Advanced Certificate in Python Development & Generative AI,Manan Inamdar,9990076248,,"F-928, Fixture Villa, Piplod",Diploma,Old student ,Teacher,Pal,All Days,12:00 To 01:00,subin sir,396,,13/02/1996,29/08/2024,8880051777,,,https://drive.google.com/file/d/1N4IC6Q3pItRHZLQqjSw3jPRUxeVXviER/view?usp=drive_link,https://drive.google.com/file/d/1W3qW4BaMIKsUckcIxGiM7Dak1Sy5KI_1/view?usp=drive_link,Citylight,0194520,
07/09/2024 15:24:11,Keya Talpade-Citylight-POWER BI,POWER BI,Keya Talpade,6660078329,88822454438,"E-680, Faux Fortune, Bhatar",BBA,Social media,Job,Citylight,"Monday, Wednesday, Friday",01:00 To 02:00,Trusha mam,176,keyatalpade877@example.com,04/03/1993,06/09/2024,,,,https://drive.google.com/open?id=1zchg3ZJapC9Oge_JHSCZ3aD0kVpxbQkU,https://drive.google.com/open?id=1jOsjtekVZberdonsE4NO7rI5ZY2TDKrC,Althan,39500,
10/09/2024 10:33:49,Tanish Joglekar-Citylight-10th std school course,10th std school course,Tanish Joglekar ,9991123712,8880043904,"B-492, Example Estate, Adajan",B.C.A,google,Business / Job,Citylight,"Monday, Wednesday, Friday",03:00 To 04:00,Siddharth sir,177,tanishjoglekar3356@example.com,09/12/1980,10/09/2024,,,,,,Citylight,395001,
25/09/2024 10:17:02,Riddhi Phadke-Pal-Advanced Excel (M-1 & M-2),Advanced Excel (M-1 & M-2),Riddhi Phadke,8882298393,8880051477,"E-679, Trial Towers, Piplod",Post Graduation,Indiamart,Business / Job,Pal,"Monday, Wednesday, Friday",05:00 To 06:00,vansh sir,401,,18/04/2007,23/09/2024,,,,,,Pandesara,394510,
01/10/2024 16:23:33,Bhavya Paranjape-Citylight-C & C++,C & C++,Bhavya Paranjape,8882209985,9990078411,"B-160, Placeholder Palace, Udhna",Post Graduation,Banner,Student ,Citylight,All Days,11:00 To 12:00,Vansh sir,403,bhavyaparanjape8540@example.com,18/11/1974,29/09/2024,8880014301,,,,https://drive.google.com/file/d/1dzDIg_8Mh2153h2oKv-BbdzmKCcGff9s/view?usp=drivesdk,,39500,
03/10/2024 15:55:51,Priya Hardikar-Vesu-COMPUTER BASICS & SCRATCH PROGRAMMING,COMPUTER BASICS & SCRATCH PROGRAMMING,Priya Hardikar,9991112168,,"G-315, Fixture Villa, Katargam",MBA,old student,Business,Vesu,"Monday, Wednesday, Friday",01:00 To 02:00,Yash Kanodia Sir,221,priyahardikar3160@example.com,19/06/2002,01/10/2024,,,,https://drive.google.com/file/d/1Oed63feEtMF5jfCHOV2BXsdb6Eq-0OGS/view?usp=drive_link,https://drive.google.com/file/d/1_H2EzkiMEM9vafu6B99yarKgm6cJgmL5/view?usp=drivesdk,Parle point,395017,
18/10/2024 13:12:41,Yashvi Lele-Vesu-UI & UX development,UI & UX development,Lele Yashvi,+918882278874,,,BBA,Friends,Student,Vesu,All Days,12:00 To 01:00,Trusha,no number,yashvilele4117@example.com,24/01/1985,17/10/2024,,,,https://drive.google.com/file/d/1-xjwpXj51VJT_WBwxLmc0qKMm1YdG38E/view?usp=drive_link,https://drive.google.com/file/d/1KHEmIlwyRomnHl_5GXX7M4ZbiyiG6GmM/view?usp=drive_link,Udhna,395006,
23/10/2024 16:18:11,Devansh Limaye-Pal-Data Analysis,Data Analysis,Limaye Devansh,8880018606,66600715016,"G-384, Stub Sankul, Citylight",Diploma,Internet ,Business,Pal,"Monday, Wednesday, Friday, Tuesday, Thursday, Saturday",07:00 To 08:00,Yash sir,405,devanshlimaye4@example.com,14/03/1986,21/10/2024,,,,https://drive.google.com/file/d/1JPiywWPg0KD29hwIWCRUBQO9ra2ib7_1/view?usp=drive_link,,Udhna,395005,
24/10/2024 20:09:19,Riddhi Chandorkar-Vesu-12th Computer Science,12th Computer Science,Riddhi Chandorkar,9990096049,,"G-911, Sample Heights, Adajan",9,Old Enquiry,Freelance,Vesu,"Monday, Wednesday, Friday",10:00 To 11:00,vansh sir,224,riddhichandorkar6067@example com,04/08/1984,22/10/2004,7770012626,,,https://drive.google.com/file/d/1m51NRXNDAy7KabjCM1xCw5ai9bO4hQTC/view?usp=drive_link,,Althan,305007,
27/10/2024 13:40:32,Parth Lele-Vesu-Power BI,Power BI,Parth Lele ,8880034618,999009348,"C-208, Synthetic Square, Umra",12th,Friends,Other ,Vesu,"Tuesday, Thursday, Saturday",11:00 To 12:00,Yash Sir,225,parthlele4487@example.com,17/05/1992,27/10/2024,,,,https://drive.google.com/file/d/1a_xU-HuQN6__qsyBoygckn7Wcplwuz8m/view?usp=drivesdk,https://drive.google.com/open?id=17LoTZtJHAw43pej-So7yOHJniArUdKL-,Vesu,0194520,
27/10/2024 11:10:21,Advait Paranjape-Pal-Advanced Certificate in Data Analytics & Data Science,Advanced Certificate in Data Analytics & Data Science,advait paranjape,8882203639,8882220227,,,google,Other ,Pal,"Tuesday, Thursday, Saturday",11:00 To 12:00,Trusha,407,advaitparanjape9310@example.com,,27/10/2024,8882207751,,,https://drive.google.com/file/d/1xdI3atb0JYdCTtmE_prMUG8uzMPHv7M1/view?usp=drivesdk,,Citylight,394210,
28/10/2024 14:26:56,Jiya Sahasrabuddhe-Pal-C & C++,C & C++,Jiya Sahasrabuddhe ,6660007654,,"A-1119, Faux Fortune, Vesu",Graduation ,Social media,Housewife,Pal,All Days,11:00 To 12:00,Trusha mam,410,jiyasahasrabuddhe2722@example.com,13/04/2016,27/10/2024,,,,https://drive.google.com/file/d/114REjgfW-FaVTAHBPySBRpna5UP8plNs/view?usp=drive_link,https://drive.google.com/open?id=1d0P08s6Cav4SzHj7-g-RYUrzpfRepAky,Umra,395009,
30/10/2024 9:00:20,Raghav Nadkarni-Vesu-Web Designing,Web Designing,Raghav Nadkarni,88800279696,6660034248,"G-1045, Example Estate, Citylight",Diploma,Google,Business,Vesu,"Monday, Wednesday, Friday",04:00 To 05:00,Siddharth Sir,227,raghavnadkarni5272@example.com,07/05/2002,30/10/2024,06660043458,,,https://drive.google.com/open?id=1zqpKBeCZbng0DGGOVkHa6rM_NVdd-bEE,https://drive.google.com/open?id=1EX4dyKn7Vpo_DX_4y2tSSQerYDi7REfK,,394210,
09/11/2024 9:44:05,Niyati Barhate-vesu-Advanced Python Programming (5 Modules),Advanced Python Programming (5 Modules),Niyati Barhate,9990062501,8880047416,,Bcom,Old student ,Job,vesu,All Days,02:00 To 03:00,vansh sir,no number,niyatibarhate2276@example.com,06/11/1998,08/11/2024,9990058813,,,,https://drive.google.com/file/d/1ck9hPwTlg9uHP-Q6rKBi-EYXbNu95Nuq/view?usp=drive_link,Adajan,,
12/11/2024 19:10:59,Aarav Jamdar-Pal-UI & UX development ,UI & UX development ,aarav jamdar,9991182813,9991110841,"C-595, Trial Towers, Umra",Bcom,Hoarding ,student,Pal,All Days,04:00 To 05:00,Vansh sir,180,,03/08/2016,11/11/2024,,,,https://drive.google.com/file/d/1eA6FV2iKHlW3OzzW1twSxptvQuLStRqw/view?usp=drive_link,https://drive.google.com/file/d/17G_c_Bcy_V4zjT-id3ioHpLTxAhGlD3P/view?usp=drive_link,Bhatar,395009,
13/11/2024 10:15:49,Tanish Nene-Vesu-python programming,python programming,TANISH NENE,8880025902,888009458,"C-1144, Mocklight Apartments, Katargam",,Old student ,Other ,Vesu,"Monday, Wednesday, Friday, Tuesday, Thursday, Saturday",05:00 To 06:00,Siddharth Sir,229,,,13/11/2024,,,,https://drive.google.com/open?id=1_zk0_kTO5xMxT0bfV3UNbI-z5XnYbmqe,,Vesu,395017,
14/11/2024 10:06:36,Sanya Bhide--Adobe Photoshop,Adobe Photoshop,Sanya Bhide,7770006238,,"G-186, Mocklight Apartments, Adajan",9th std,Relatives ,NA,,"Tuesday, Thursday, Saturday",04:00 To 05:00,Siddharth sir,231,"sanyabhide6213@example ,com",,14/11/2024,,,,,https://drive.google.com/file/d/1T_Lwh_sCahVmPQ7ozoqeGA7u4ZLBcJBe/view?usp=drive_link,Bhatar,0194520,
